Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.700997      190.104500        702.4171
      3.765633      236.318000        862.8075
      3.733315      210.791500        755.8747
      3.717156      196.307500        705.5431
      3.725235      195.712500        712.7695
      3.729275      216.245000        842.5557
      3.727255      211.682500        824.3883
      3.726245      206.325500        804.8098
      3.725740      214.982000        839.4280
      3.725488      210.104000        826.8728
      3.725362      207.242500        812.7381
      3.725298      205.079000        796.6387
      3.725267      198.206500        716.1753
 Final Limit:   3.72526691291983       ARL:   198.206500000000     
