Shift shiftarea shiftellipticity  ARL  Std  Q1  Med  Q3  Max
 1.200 0.010 0.700    36.4994     0.4814    14.0000    27.0000    49.0000   347.0000     0.0000
 1.200 0.010 0.650    35.7192     0.4739    13.0000    25.0000    48.0000   365.0000     0.0000
 1.200 0.010 0.600    34.9630     0.4632    13.0000    25.0000    47.0000   335.0000     0.0000
 1.200 0.010 0.550    35.9798     0.4577    13.0000    26.0000    48.0000   310.0000     0.0000
 1.200 0.010 0.500    35.6776     0.4568    13.0000    26.0000    48.0000   311.0000     0.0000
 1.200 0.010 0.450    37.0410     0.4792    14.0000    27.0000    50.0000   449.0000     0.0000
 1.200 0.010 0.400    35.6754     0.4540    13.0000    26.0000    49.0000   313.0000     0.0000
 1.200 0.010 0.350    37.5220     0.4894    13.0000    27.0000    50.0000   297.0000     0.0000
 1.200 0.010 0.300    37.7478     0.4785    14.0000    28.0000    51.0000   281.0000     0.0000
 1.200 0.010 0.250    37.9550     0.5056    13.0000    27.0000    51.0000   379.0000     0.0000
 1.200 0.010 0.200    37.7722     0.5008    14.0000    28.0000    51.0000   373.0000     0.0000
 1.200 0.010 0.150    38.7874     0.5259    14.0000    28.0000    52.0000   650.0000     0.0000
 1.200 0.010 0.100    39.8264     0.5412    14.0000    28.0000    54.0000   392.0000     0.0000
 1.200 0.010 0.050    42.3882     0.5852    15.0000    30.0000    55.0000   428.0000     0.0000
 0.800 0.050 1.000    21.7972     0.2554    10.0000    17.0000    29.0000   181.0000     0.0000
 0.800 0.050 0.950    22.2682     0.2597    10.0000    18.0000    29.0000   257.0000     0.0000
 0.800 0.050 0.900    22.1278     0.2581    10.0000    17.0000    29.0000   195.0000     0.0000
 0.800 0.050 0.850    22.0586     0.2605     9.0000    17.0000    29.0000   189.0000     0.0000
 0.800 0.050 0.800    21.9550     0.2593     9.0000    17.0000    29.0000   176.0000     0.0000
 0.800 0.050 0.750    22.1206     0.2574     9.0000    17.0000    29.0000   179.0000     0.0000
 0.800 0.050 0.700    22.2110     0.2619    10.0000    17.0000    29.0000   166.0000     0.0000
 0.800 0.050 0.650    22.1000     0.2602     9.0000    17.0000    29.0000   239.0000     0.0000
 0.800 0.050 0.600    21.6922     0.2553     9.0000    17.0000    29.0000   191.0000     0.0000
 0.800 0.050 0.550    21.3986     0.2461     9.0000    17.0000    28.0000   168.0000     0.0000
 0.800 0.050 0.500    22.4058     0.2619    10.0000    17.0000    30.0000   189.0000     0.0000
 0.800 0.050 0.450    21.9310     0.2559     9.0000    17.0000    29.0000   174.0000     0.0000
 0.800 0.050 0.400    22.6356     0.2583    10.0000    18.0000    30.0000   147.0000     0.0000
 0.800 0.050 0.350    22.5970     0.2601    10.0000    18.0000    30.0000   242.0000     0.0000
 0.800 0.050 0.300    22.7798     0.2719    10.0000    18.0000    30.0000   265.0000     0.0000
 0.800 0.050 0.250    23.3692     0.2813    10.0000    18.0000    31.0000   276.0000     0.0000
 0.800 0.050 0.200    22.9442     0.2721    10.0000    18.0000    31.0000   176.0000     0.0000
 0.800 0.050 0.150    23.6450     0.2719    10.0000    18.0000    32.0000   143.0000     0.0000
 0.800 0.050 0.100    24.2044     0.2789    10.0000    19.0000    32.0000   211.0000     0.0000
 0.800 0.050 0.050    25.7970     0.3019    11.0000    20.0000    35.0000   191.0000     0.0000
 0.800 0.040 1.000    25.2870     0.2958    11.0000    20.0000    33.0000   187.0000     0.0000
 0.800 0.040 0.950    25.2274     0.2951    11.0000    19.0000    34.0000   184.0000     0.0000
 0.800 0.040 0.900    25.1494     0.2986    11.0000    20.0000    33.0000   220.0000     0.0000
 0.800 0.040 0.850    25.3620     0.2988    11.0000    20.0000    34.0000   218.0000     0.0000
 0.800 0.040 0.800    25.5246     0.3038    11.0000    19.0000    34.0000   281.0000     0.0000
 0.800 0.040 0.750    26.1146     0.3129    11.0000    20.0000    35.0000   200.0000     0.0000
 0.800 0.040 0.700    25.1140     0.2967    11.0000    20.0000    33.0000   216.0000     0.0000
 0.800 0.040 0.650    25.4450     0.3038    11.0000    19.0000    34.0000   201.0000     0.0000
 0.800 0.040 0.600    26.1710     0.3087    11.0000    21.0000    34.0000   242.0000     0.0000
 0.800 0.040 0.550    25.5850     0.3076    11.0000    19.0000    34.0000   202.0000     0.0000
 0.800 0.040 0.500    25.9602     0.3098    11.0000    20.0000    34.0000   213.0000     0.0000
 0.800 0.040 0.450    25.5022     0.3068    11.0000    19.0000    33.0000   180.0000     0.0000
 0.800 0.040 0.400    25.3768     0.3003    11.0000    20.0000    34.0000   194.0000     0.0000
 0.800 0.040 0.350    25.8304     0.3031    11.0000    20.0000    34.0000   190.0000     0.0000
 0.800 0.040 0.300    25.6834     0.3076    11.0000    20.0000    34.0000   274.0000     0.0000
 0.800 0.040 0.250    25.7708     0.3018    11.0000    20.0000    34.0000   230.0000     0.0000
 0.800 0.040 0.200    26.6530     0.3167    11.0000    20.0000    35.0000   206.0000     0.0000
 0.800 0.040 0.150    26.4128     0.3125    11.0000    20.0000    35.0000   205.0000     0.0000
 0.800 0.040 0.100    27.2908     0.3289    11.0000    21.0000    36.0000   192.0000     0.0000
 0.800 0.040 0.050    29.1566     0.3529    12.0000    22.0000    38.0000   275.0000     0.0000
 0.800 0.030 1.000    30.9464     0.3934    13.0000    23.0000    40.0000   255.0000     0.0000
 0.800 0.030 0.950    31.1438     0.3780    13.0000    24.0000    42.0000   264.0000     0.0000
 0.800 0.030 0.900    30.9308     0.3775    13.0000    24.0000    41.0000   304.0000     0.0000
 0.800 0.030 0.850    30.4516     0.3761    12.0000    23.0000    40.0000   325.0000     0.0000
 0.800 0.030 0.800    31.3198     0.3832    12.0000    24.0000    42.0000   311.0000     0.0000
 0.800 0.030 0.750    30.7908     0.3738    13.0000    23.0000    41.0000   322.0000     0.0000
 0.800 0.030 0.700    30.7858     0.3764    12.0000    23.0000    41.0000   222.0000     0.0000
 0.800 0.030 0.650    31.1442     0.3802    12.0000    24.0000    42.0000   262.0000     0.0000
 0.800 0.030 0.600    30.7124     0.3712    13.0000    24.0000    41.0000   296.0000     0.0000
 0.800 0.030 0.550    31.5722     0.3832    13.0000    24.0000    42.0000   276.0000     0.0000
 0.800 0.030 0.500    30.9010     0.3723    13.0000    24.0000    41.0000   251.0000     0.0000
 0.800 0.030 0.450    31.1372     0.3863    12.0000    24.0000    41.0000   278.0000     0.0000
 0.800 0.030 0.400    30.7374     0.3789    12.0000    23.0000    41.0000   278.0000     0.0000
 0.800 0.030 0.350    30.7442     0.3812    12.0000    23.0000    41.0000   280.0000     0.0000
 0.800 0.030 0.300    31.7394     0.3846    13.0000    24.0000    42.0000   216.0000     0.0000
 0.800 0.030 0.250    31.2358     0.3871    13.0000    23.0000    41.0000   228.0000     0.0000
 0.800 0.030 0.200    32.3042     0.3983    13.0000    24.0000    43.0000   224.0000     0.0000
 0.800 0.030 0.150    31.9802     0.3877    13.0000    24.0000    42.0000   274.0000     0.0000
 0.800 0.030 0.100    33.7660     0.4274    13.0000    25.0000    44.0000   370.0000     0.0000
 0.800 0.030 0.050    35.5972     0.4440    14.0000    27.0000    47.0000   350.0000     0.0000
 0.800 0.020 1.000    41.2042     0.5311    16.0000    30.0000    54.0000   372.0000     0.0000
 0.800 0.020 0.950    40.4822     0.5207    15.0000    30.0000    54.0000   521.0000     0.0000
 0.800 0.020 0.900    40.0840     0.5130    15.0000    29.0000    54.0000   427.0000     0.0000
 0.800 0.020 0.850    40.8366     0.5138    16.0000    31.0000    55.0000   389.0000     0.0000
 0.800 0.020 0.800    41.6096     0.5334    16.0000    31.0000    55.0000   312.0000     0.0000
 0.800 0.020 0.750    40.3276     0.5079    15.0000    30.0000    54.0000   351.0000     0.0000
 0.800 0.020 0.700    40.7122     0.5239    15.0000    30.0000    54.0000   370.0000     0.0000
 0.800 0.020 0.650    40.7192     0.5189    15.0000    30.0000    55.0000   379.0000     0.0000
 0.800 0.020 0.600    40.7878     0.5184    15.0000    30.0000    55.0000   319.0000     0.0000
 0.800 0.020 0.550    40.8096     0.5107    16.0000    31.0000    54.0000   351.0000     0.0000
 0.800 0.020 0.500    41.0118     0.5186    16.0000    30.0000    55.0000   337.0000     0.0000
 0.800 0.020 0.450    41.6218     0.5289    16.0000    31.0000    57.0000   408.0000     0.0000
 0.800 0.020 0.400    41.2336     0.5240    16.0000    31.0000    56.0000   360.0000     0.0000
 0.800 0.020 0.350    40.7732     0.5231    16.0000    30.0000    54.0000   404.0000     0.0000
 0.800 0.020 0.300    41.2914     0.5343    15.0000    30.0000    55.0000   419.0000     0.0000
 0.800 0.020 0.250    41.7270     0.5459    15.0000    30.0000    56.0000   431.0000     0.0000
 0.800 0.020 0.200    41.5574     0.5290    16.0000    30.0000    56.0000   407.0000     0.0000
 0.800 0.020 0.150    41.7122     0.5450    15.0000    31.0000    56.0000   466.0000     0.0000
 0.800 0.020 0.100    42.8816     0.5467    16.0000    32.0000    57.0000   334.0000     0.0000
 0.800 0.020 0.050    45.4412     0.6066    16.0000    33.0000    61.0000   418.0000     0.0000
 0.800 0.010 1.000    63.5340     0.8592    22.0000    45.0000    86.0000   626.0000     0.0000
 0.800 0.010 0.950    61.3498     0.8301    21.0000    43.0000    83.0000   543.0000     0.0000
 0.800 0.010 0.900    64.6068     0.8778    22.0000    46.0000    88.0000   622.0000     0.0000
 0.800 0.010 0.850    63.1592     0.8259    23.0000    46.0000    86.0000   530.0000     0.0000
 0.800 0.010 0.800    64.9862     0.8610    22.0000    47.0000    88.0000   485.0000     0.0000
 0.800 0.010 0.750    62.9254     0.8177    22.0000    46.0000    87.0000   514.0000     0.0000
 0.800 0.010 0.700    64.1298     0.8619    22.0000    46.0000    86.0000   498.0000     0.0000
 0.800 0.010 0.650    65.4984     0.8839    22.0000    46.0000    90.0000   613.0000     0.0000
 0.800 0.010 0.600    63.2852     0.8471    21.0000    45.0000    86.0000   495.0000     0.0000
 0.800 0.010 0.550    63.8254     0.8356    22.0000    46.0000    87.0000   571.0000     0.0000
 0.800 0.010 0.500    63.7040     0.8539    22.0000    46.0000    87.0000   617.0000     0.0000
 0.800 0.010 0.450    62.5646     0.8435    21.0000    45.0000    85.0000   638.0000     0.0000
 0.800 0.010 0.400    64.6870     0.8421    22.0000    47.0000    89.0000   474.0000     0.0000
 0.800 0.010 0.350    65.2766     0.8729    22.0000    47.0000    90.0000   668.0000     0.0000
 0.800 0.010 0.300    64.2166     0.8505    22.0000    46.0000    88.0000   452.0000     0.0000
 0.800 0.010 0.250    65.2416     0.8849    22.0000    46.0000    87.0000   567.0000     0.0000
 0.800 0.010 0.200    66.4852     0.9069    22.0000    47.0000    89.0000   673.0000     0.0000
 0.800 0.010 0.150    65.2844     0.8790    23.0000    47.0000    87.0000   606.0000     0.0000
 0.800 0.010 0.100    66.2576     0.8896    22.0000    47.0000    90.0000   651.0000     0.0000
 0.800 0.010 0.050    71.0342     0.9528    25.0000    51.0000    95.0000   614.0000     0.0000
 0.400 0.050 1.000    76.2206     1.0362    26.0000    53.0000   102.0000   688.0000     0.0000
 0.400 0.050 0.950    75.9226     1.0277    26.0000    55.0000   103.0000   710.0000     0.0000
 0.400 0.050 0.900    75.7002     1.0159    26.0000    55.0000   102.0000   715.0000     0.0000
 0.400 0.050 0.850    77.5760     1.0035    27.0000    57.0000   106.0000   663.0000     0.0000
 0.400 0.050 0.800    74.2316     0.9799    25.0000    53.0000   102.0000   676.0000     0.0000
 0.400 0.050 0.750    76.5242     1.0099    27.0000    56.0000   103.0000   695.0000     0.0000
 0.400 0.050 0.700    78.1944     1.0441    27.0000    56.0000   105.0000   676.0000     0.0000
 0.400 0.050 0.650    76.5654     1.0360    26.0000    54.0000   104.0000   766.0000     0.0000
 0.400 0.050 0.600    75.8030     1.0253    26.0000    54.0000   104.0000   659.0000     0.0000
 0.400 0.050 0.550    76.0328     1.0045    26.0000    55.0000   104.0000   613.0000     0.0000
 0.400 0.050 0.500    75.8292     1.0274    26.0000    54.0000   101.0000   655.0000     0.0000
 0.400 0.050 0.450    78.0350     1.0634    26.0000    56.0000   106.0000   608.0000     0.0000
 0.400 0.050 0.400    75.6728     0.9932    27.0000    55.0000   102.0000   650.0000     0.0000
 0.400 0.050 0.350    77.9784     1.0264    27.0000    57.0000   106.0000   693.0000     0.0000
 0.400 0.050 0.300    77.1318     1.0244    27.0000    56.0000   104.0000   934.0000     0.0000
 0.400 0.050 0.250    77.9572     1.0295    27.0000    56.0000   106.0000   748.0000     0.0000
 0.400 0.050 0.200    78.8868     1.0335    27.0000    57.0000   107.0000   589.0000     0.0000
 0.400 0.050 0.150    80.9734     1.0859    28.0000    58.0000   108.0000   653.0000     0.0000
 0.400 0.050 0.100    82.3118     1.0899    28.0000    59.0000   113.0000   762.0000     0.0000
 0.400 0.050 0.050    87.4964     1.1546    30.0000    63.0000   118.0000   778.0000     0.0000
 0.400 0.040 1.000    87.2206     1.1644    29.0000    63.0000   117.0000   767.0000     0.0000
 0.400 0.040 0.950    84.3812     1.1148    29.0000    61.0000   117.0000   683.0000     0.0000
 0.400 0.040 0.900    85.4368     1.1651    29.0000    62.0000   115.0000   782.0000     0.0000
 0.400 0.040 0.850    86.1058     1.1635    29.0000    62.0000   117.0000   729.0000     0.0000
 0.400 0.040 0.800    85.2360     1.1311    29.0000    61.0000   117.0000   820.0000     0.0000
 0.400 0.040 0.750    86.3792     1.1661    29.0000    61.0000   117.0000   748.0000     0.0000
 0.400 0.040 0.700    83.9302     1.1164    28.0000    60.0000   115.0000   727.0000     0.0000
 0.400 0.040 0.650    84.8820     1.1476    28.0000    59.0000   116.0000   613.0000     0.0000
 0.400 0.040 0.600    86.0838     1.1494    30.0000    61.0000   116.0000   899.0000     0.0000
 0.400 0.040 0.550    86.8190     1.1918    28.0000    61.0000   118.0000  1115.0000     0.0000
 0.400 0.040 0.500    86.5520     1.1740    29.0000    62.0000   119.0000   685.0000     0.0000
 0.400 0.040 0.450    87.5686     1.1701    29.0000    62.0000   120.0000   702.0000     0.0000
 0.400 0.040 0.400    87.2536     1.1875    29.0000    62.0000   121.0000   947.0000     0.0000
 0.400 0.040 0.350    89.0172     1.1982    31.0000    63.0000   119.0000   830.0000     0.0000
 0.400 0.040 0.300    86.6030     1.1913    29.0000    61.0000   116.0000   768.0000     0.0000
 0.400 0.040 0.250    89.1542     1.1841    30.0000    65.0000   121.0000   732.0000     0.0000
 0.400 0.040 0.200    89.6310     1.1985    31.0000    65.0000   119.0000   715.0000     0.0000
 0.400 0.040 0.150    89.8634     1.2147    30.0000    63.0000   123.0000   797.0000     0.0000
 0.400 0.040 0.100    90.8720     1.2093    32.0000    66.0000   123.0000   772.0000     0.0000
 0.400 0.040 0.050    95.4734     1.2606    31.0000    69.0000   132.0000   716.0000     0.0000
 0.400 0.030 1.000    97.2132     1.3307    32.0000    69.0000   129.0000   708.0000     0.0000
 0.400 0.030 0.950    97.5050     1.3426    31.0000    69.0000   132.0000   880.0000     0.0000
 0.400 0.030 0.900    99.3998     1.3665    32.0000    70.0000   135.0000   852.0000     0.0000
 0.400 0.030 0.850    99.5294     1.3591    33.0000    70.0000   136.0000   899.0000     0.0000
 0.400 0.030 0.800    97.0686     1.3313    31.0000    68.0000   132.0000   952.0000     0.0000
 0.400 0.030 0.750   100.2518     1.3369    33.0000    72.0000   139.0000   854.0000     0.0000
 0.400 0.030 0.700    99.1966     1.3249    32.0000    71.0000   139.0000   908.0000     0.0000
 0.400 0.030 0.650    97.6754     1.3153    32.0000    69.0000   135.0000   806.0000     0.0000
 0.400 0.030 0.600    98.2076     1.3289    32.0000    69.0000   134.0000   733.0000     0.0000
 0.400 0.030 0.550    99.1464     1.3214    33.0000    72.0000   136.0000   944.0000     0.0000
 0.400 0.030 0.500    99.4278     1.3254    32.0000    71.0000   138.0000   744.0000     0.0000
 0.400 0.030 0.450    98.7668     1.3341    33.0000    72.0000   135.0000   806.0000     0.0000
 0.400 0.030 0.400    97.9666     1.3198    31.0000    68.0000   136.0000   744.0000     0.0000
 0.400 0.030 0.350   100.4618     1.3521    34.0000    73.0000   137.0000  1081.0000     0.0000
 0.400 0.030 0.300   101.5126     1.3597    34.0000    72.0000   140.0000   864.0000     0.0000
 0.400 0.030 0.250    99.9880     1.3747    32.0000    69.0000   138.0000   765.0000     0.0000
 0.400 0.030 0.200   104.7714     1.4311    34.0000    76.0000   141.0000   871.0000     0.0000
 0.400 0.030 0.150   100.8004     1.3489    34.0000    73.0000   136.0000  1163.0000     0.0000
 0.400 0.030 0.100   105.0738     1.3969    34.0000    75.0000   147.0000  1044.0000     0.0000
 0.400 0.030 0.050   110.2640     1.5091    35.0000    79.0000   151.0000  1258.0000     0.0000
 0.400 0.020 1.000   114.1776     1.5585    35.0000    80.0000   160.0000   928.0000     0.0000
 0.400 0.020 0.950   117.8126     1.6429    37.0000    82.0000   162.0000  1277.0000     0.0000
 0.400 0.020 0.900   117.6186     1.5931    38.0000    83.0000   162.0000   996.0000     0.0000
 0.400 0.020 0.850   114.9658     1.5540    37.0000    80.0000   157.0000   881.0000     0.0000
 0.400 0.020 0.800   118.2214     1.6027    38.0000    83.0000   164.0000   978.0000     0.0000
 0.400 0.020 0.750   118.3786     1.5992    37.0000    85.0000   162.0000   921.0000     0.0000
 0.400 0.020 0.700   116.0104     1.5924    36.0000    81.0000   157.0000   845.0000     0.0000
 0.400 0.020 0.650   113.4366     1.5251    36.0000    82.0000   156.0000   820.0000     0.0000
 0.400 0.020 0.600   115.9460     1.5519    35.0000    83.0000   162.0000   864.0000     0.0000
 0.400 0.020 0.550   119.1748     1.6416    37.0000    84.0000   162.0000   988.0000     0.0000
 0.400 0.020 0.500   118.8328     1.6040    38.0000    86.0000   162.0000  1221.0000     0.0000
 0.400 0.020 0.450   117.6714     1.6387    36.0000    82.0000   160.0000  1139.0000     0.0000
 0.400 0.020 0.400   119.9272     1.6567    39.0000    86.0000   162.0000  1400.0000     0.0000
 0.400 0.020 0.350   118.5312     1.6626    37.0000    83.0000   162.0000  1205.0000     0.0000
 0.400 0.020 0.300   117.0942     1.6582    37.0000    82.0000   160.0000  1518.0000     0.0000
 0.400 0.020 0.250   118.1158     1.6024    37.0000    84.0000   160.0000   932.0000     0.0000
 0.400 0.020 0.200   120.1818     1.6631    37.0000    85.0000   165.0000  1101.0000     0.0000
 0.400 0.020 0.150   121.6102     1.6945    39.0000    84.0000   166.0000  1300.0000     0.0000
 0.400 0.020 0.100   123.5052     1.7415    37.0000    85.0000   169.0000  1411.0000     0.0000
 0.400 0.020 0.050   127.2536     1.7745    40.0000    90.0000   173.0000  1318.0000     0.0000
 0.400 0.010 1.000   149.6498     2.0875    47.0000   106.0000   204.0000  1438.0000     0.0000
 0.400 0.010 0.950   144.6044     2.0516    42.0000    99.0000   198.0000  1475.0000     0.0000
 0.400 0.010 0.900   146.0304     2.0305    44.0000   101.0000   200.0000  1281.0000     0.0000
 0.400 0.010 0.850   149.2798     2.0793    45.0000   105.0000   205.0000  1728.0000     0.0000
 0.400 0.010 0.800   145.3316     2.0800    44.0000   101.0000   199.0000  1794.0000     0.0000
 0.400 0.010 0.750   146.8256     2.0162    44.0000   106.0000   203.0000  1315.0000     0.0000
 0.400 0.010 0.700   146.9322     2.0953    44.0000   102.0000   201.0000  1229.0000     0.0000
 0.400 0.010 0.650   148.3302     2.0940    43.0000   103.0000   205.0000  1517.0000     0.0000
 0.400 0.010 0.600   146.8570     2.0348    45.0000   105.0000   201.0000  1257.0000     0.0000
 0.400 0.010 0.550   149.7810     2.0934    44.0000   104.0000   208.0000  1395.0000     0.0000
 0.400 0.010 0.500   147.7848     2.0787    44.0000   102.0000   205.0000  1293.0000     0.0000
 0.400 0.010 0.450   147.9400     2.0661    47.0000   103.0000   202.0000  1422.0000     0.0000
 0.400 0.010 0.400   147.4532     2.0607    45.0000   105.0000   201.0000  1248.0000     0.0000
 0.400 0.010 0.350   152.6442     2.0780    46.0000   109.0000   214.0000  1284.0000     0.0000
 0.400 0.010 0.300   149.1836     2.0630    46.0000   107.0000   205.0000  1424.0000     0.0000
 0.400 0.010 0.250   148.7758     2.0750    45.0000   102.0000   206.0000  1373.0000     0.0000
 0.400 0.010 0.200   146.1246     2.0278    43.0000   102.0000   205.0000  1204.0000     0.0000
 0.400 0.010 0.150   152.1052     2.1132    48.0000   106.0000   205.0000  1083.0000     0.0000
 0.400 0.010 0.100   152.5812     2.0962    46.0000   106.0000   211.0000  1328.0000     0.0000
 0.400 0.010 0.050   155.7158     2.1640    46.0000   111.0000   215.0000  1454.0000     0.0000
