Shift shiftarea shiftellipticity  ARL  Std  Q1  Med  Q3  Max
 2.000 0.020 0.750    10.8176     0.1267     5.0000     9.0000    14.0000   210.0000     0.0000
 2.000 0.020 0.700    11.0194     0.1197     5.0000     9.0000    15.0000    87.0000     0.0000
 2.000 0.020 0.650    11.0086     0.1219     5.0000     9.0000    15.0000    86.0000     0.0000
 2.000 0.020 0.600    11.1288     0.1221     5.0000     9.0000    15.0000    85.0000     0.0000
 2.000 0.020 0.550    11.1790     0.1252     5.0000     9.0000    15.0000    92.0000     0.0000
 2.000 0.020 0.500    11.2584     0.1258     5.0000     9.0000    15.0000   108.0000     0.0000
 2.000 0.020 0.450    11.0854     0.1267     5.0000     9.0000    14.0000   132.0000     0.0000
 2.000 0.020 0.400    11.1304     0.1247     5.0000     9.0000    14.0000    94.0000     0.0000
 2.000 0.020 0.350    11.2792     0.1265     5.0000     9.0000    15.0000   102.0000     0.0000
 2.000 0.020 0.300    11.7116     0.1326     5.0000     9.0000    15.0000   125.0000     0.0000
 2.000 0.020 0.250    11.6586     0.1365     5.0000     9.0000    15.0000   136.0000     0.0000
 2.000 0.020 0.200    12.0918     0.1423     5.0000     9.0000    16.0000    95.0000     0.0000
 2.000 0.020 0.150    12.2660     0.1467     5.0000     9.0000    16.0000   109.0000     0.0000
 2.000 0.020 0.100    12.8960     0.1566     5.0000    10.0000    17.0000   203.0000     0.0000
 2.000 0.020 0.050    14.2574     0.1870     5.0000    10.0000    18.0000   137.0000     0.0000
 2.000 0.010 1.000    18.5106     0.2342     7.0000    14.0000    24.0000   261.0000     0.0000
 2.000 0.010 0.950    18.4408     0.2310     7.0000    14.0000    24.0000   210.0000     0.0000
 2.000 0.010 0.900    18.3958     0.2275     8.0000    14.0000    24.0000   169.0000     0.0000
 2.000 0.010 0.850    18.4562     0.2407     8.0000    14.0000    23.0000   198.0000     0.0000
 2.000 0.010 0.800    18.9260     0.2385     8.0000    14.0000    25.0000   166.0000     0.0000
 2.000 0.010 0.750    18.7748     0.2360     8.0000    14.0000    25.0000   232.0000     0.0000
 2.000 0.010 0.700    18.2596     0.2259     8.0000    14.0000    24.0000   184.0000     0.0000
 2.000 0.010 0.650    18.4682     0.2212     8.0000    14.0000    24.0000   149.0000     0.0000
 2.000 0.010 0.600    18.5664     0.2384     7.0000    14.0000    24.0000   224.0000     0.0000
 2.000 0.010 0.550    19.0746     0.2364     7.0000    14.0000    25.0000   153.0000     0.0000
 2.000 0.010 0.500    18.7716     0.2396     7.0000    14.0000    25.0000   193.0000     0.0000
 2.000 0.010 0.450    19.5370     0.2565     7.0000    14.0000    26.0000   317.0000     0.0000
 2.000 0.010 0.400    19.8196     0.2523     8.0000    15.0000    26.0000   186.0000     0.0000
 2.000 0.010 0.350    20.4378     0.2626     8.0000    15.0000    27.0000   212.0000     0.0000
 2.000 0.010 0.300    20.8130     0.2685     8.0000    15.0000    28.0000   228.0000     0.0000
 2.000 0.010 0.250    20.5438     0.2736     8.0000    15.0000    27.0000   227.0000     0.0000
 2.000 0.010 0.200    21.5650     0.2895     8.0000    15.0000    29.0000   222.0000     0.0000
 2.000 0.010 0.150    21.4140     0.2888     7.0000    15.0000    28.0000   200.0000     0.0000
 2.000 0.010 0.100    22.6674     0.3100     8.0000    16.0000    30.0000   267.0000     0.0000
 2.000 0.010 0.050    24.3572     0.3351     8.0000    17.0000    32.0000   228.0000     0.0000
 1.600 0.050 1.000     8.0080     0.0815     4.0000     7.0000    10.0000    89.0000     0.0000
 1.600 0.050 0.950     8.0594     0.0796     4.0000     7.0000    11.0000    54.0000     0.0000
 1.600 0.050 0.900     8.1156     0.0815     4.0000     7.0000    11.0000    52.0000     0.0000
 1.600 0.050 0.850     7.9318     0.0782     4.0000     7.0000    10.0000    49.0000     0.0000
