Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.660000      193.150500         11.4067
      3.680000      218.906500         12.2428
      3.670000      202.819000         11.3043
      3.665000      203.011000         11.3069
      3.662500      204.916000         11.3653
      3.661250      193.081500         10.8752
      3.661875      195.623000         10.9615
      3.662187      196.252000         10.9602
      3.662344      197.450000         10.9507
      3.662422      197.015000         10.9424
      3.662461      200.358000         11.3008
 Final Limit:   3.66246093750000       ARL:   200.358000000000     
