Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      4.140352      298.482800       2616.4913
      4.202080      384.103200       3366.4398
      4.171216      331.747400       2909.9224
      4.186648      346.951400       3040.6909
      4.194364      358.907200       3146.4773
      4.198222      374.806400       3282.0912
      4.196293      358.687800       3141.1551
      4.197257      370.518400       3242.8167
 Final Limit:   4.19725724592933       ARL:   370.518400000000     
