Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.250     7.3795     0.1285     4.0000     6.0000     9.0000    46.0000
 0.950 0.250     8.0315     0.1401     4.0000     6.0000    11.0000    66.0000
 0.900 0.250     8.5145     0.1527     4.0000     6.0000    11.0000    55.0000
 0.850 0.250     9.0605     0.1643     4.0000     7.0000    12.0000    88.0000
 0.800 0.250     9.7655     0.1666     5.0000     8.0000    13.0000    64.0000
 0.750 0.250    10.7440     0.1886     5.0000     8.0000    14.0000    68.0000
 0.700 0.250    11.3695     0.2095     5.0000     9.0000    15.0000    98.0000
 0.650 0.250    12.8765     0.2273     6.0000    10.0000    17.0000   124.0000
 0.600 0.250    14.7835     0.2698     7.0000    12.0000    19.0000    99.0000
 0.550 0.250    17.4205     0.3404     7.0000    13.0000    23.0000   176.0000
 0.500 0.250    19.0815     0.3459     8.0000    15.0000    26.0000   127.0000
 0.450 0.250    23.0220     0.4408    10.0000    18.0000    30.0000   176.0000
 0.400 0.250    28.3580     0.5462    12.0000    21.0000    37.0000   204.0000
 0.350 0.250    34.5490     0.6356    15.0000    27.0000    46.0000   229.0000
 0.300 0.250    49.9005     1.0006    18.0000    37.0000    68.0000   325.0000
 0.250 0.250    65.8085     1.4181    23.0000    47.0000    88.0000   496.0000
 0.200 0.250    97.2780     2.0962    31.0000    68.0000   132.0000   701.0000
 0.150 0.250   136.9280     2.9714    39.0000    99.0000   192.0000   977.0000
 0.100 0.250   168.8740     3.7761    48.0000   114.0000   233.0000  1251.0000
 0.050 0.250   197.0095     4.4590    56.0000   138.0000   266.0000  1595.0000
