Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.250     6.6515     0.0950     4.0000     6.0000     9.0000    44.0000
 0.950 0.250     7.1080     0.1083     4.0000     6.0000     9.0000    53.0000
 0.900 0.250     7.6320     0.1121     4.0000     6.0000    10.0000    44.0000
 0.850 0.250     8.3360     0.1229     5.0000     7.0000    11.0000    66.0000
 0.800 0.250     9.3390     0.1410     5.0000     8.0000    12.0000    54.0000
 0.750 0.250     9.9070     0.1505     5.0000     8.0000    12.0000    55.0000
 0.700 0.250    10.9770     0.1682     6.0000     9.0000    14.0000    76.0000
 0.650 0.250    12.1890     0.1937     6.0000    10.0000    16.0000    75.0000
 0.600 0.250    13.8325     0.2167     7.0000    11.0000    18.0000    89.0000
 0.550 0.250    16.6500     0.2709     8.0000    14.0000    22.0000   124.0000
 0.500 0.250    18.8550     0.3019     9.0000    15.0000    25.0000   105.0000
 0.450 0.250    22.9495     0.3804    11.0000    19.0000    31.0000   146.0000
 0.400 0.250    27.9630     0.4855    13.0000    23.0000    37.0000   171.0000
 0.350 0.250    37.6215     0.6874    17.0000    29.0000    49.0000   285.0000
 0.300 0.250    51.0035     0.9903    19.0000    40.0000    69.0000   383.0000
