Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.150    12.0520     0.2285     6.0000     9.0000    15.0000   125.0000
 0.950 0.150    12.8725     0.2403     6.0000    10.0000    16.0000    93.0000
 0.900 0.150    13.7720     0.2629     6.0000    10.0000    18.0000   156.0000
 0.850 0.150    14.6950     0.2600     7.0000    12.0000    19.0000   102.0000
 0.800 0.150    16.4320     0.3168     7.0000    13.0000    21.0000   190.0000
 0.750 0.150    17.6080     0.3359     8.0000    13.0000    22.0000   143.0000
 0.700 0.150    19.9270     0.3798     9.0000    15.0000    26.0000   142.0000
 0.650 0.150    21.6745     0.4241     9.0000    17.0000    28.0000   242.0000
 0.600 0.150    24.9265     0.4607    11.0000    19.0000    33.0000   182.0000
 0.550 0.150    28.1930     0.5469    12.0000    22.0000    36.0000   204.0000
 0.500 0.150    33.8930     0.6386    14.0000    26.0000    45.0000   267.0000
 0.450 0.150    41.2215     0.8291    16.0000    31.0000    53.0000   360.0000
 0.400 0.150    51.1555     0.9950    21.0000    38.0000    69.0000   393.0000
 0.350 0.150    64.5215     1.3366    23.0000    47.0000    86.0000   481.0000
 0.300 0.150    85.9060     1.7389    30.0000    64.0000   119.0000   766.0000
 0.250 0.150   105.9040     2.2517    35.0000    77.0000   146.0000   767.0000
 0.200 0.150   139.5825     3.1718    43.0000    97.0000   191.0000  1267.0000
 0.150 0.150   179.8170     4.0651    51.0000   123.0000   249.0000  1608.0000
 0.100 0.150   183.8790     4.1163    55.0000   127.0000   250.0000  1168.0000
 0.050 0.150   191.1245     4.4062    54.0000   134.0000   263.0000  1841.0000
