Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.050    59.4800     1.3227    18.0000    41.0000    83.0000   429.0000
 0.950 0.050    60.7905     1.3379    20.0000    42.0000    83.0000   522.0000
 0.900 0.050    67.1395     1.5092    21.0000    47.0000    91.0000   770.0000
 0.850 0.050    71.0305     1.5303    23.0000    51.0000   101.0000   700.0000
 0.800 0.050    76.6080     1.6868    25.0000    54.0000   104.0000   586.0000
 0.750 0.050    82.4845     1.7479    27.0000    59.0000   113.0000   809.0000
 0.700 0.050    83.5330     1.8326    26.0000    60.0000   117.0000   777.0000
 0.650 0.050    93.1205     2.0128    29.0000    65.0000   133.0000   942.0000
 0.600 0.050    98.9765     2.1253    30.0000    72.0000   137.0000   757.0000
 0.550 0.050   105.2240     2.2662    34.0000    74.0000   144.0000   880.0000
 0.500 0.050   114.3335     2.4559    35.0000    83.0000   158.0000   791.0000
 0.450 0.050   128.3530     2.7995    41.0000    91.0000   173.0000  1012.0000
 0.400 0.050   136.5960     2.9845    42.0000    98.0000   191.0000  1081.0000
 0.350 0.050   159.6170     3.4986    48.0000   110.0000   219.0000  1318.0000
 0.300 0.050   175.0970     3.9210    51.0000   120.0000   238.0000  1197.0000
 0.250 0.050   184.5980     4.0095    55.0000   132.0000   262.0000  1451.0000
 0.200 0.050   181.1635     4.1598    52.0000   126.0000   245.0000  1690.0000
 0.150 0.050   189.0740     4.0903    56.0000   130.0000   264.0000  1098.0000
 0.100 0.050   197.9965     4.4682    55.0000   136.0000   277.0000  1672.0000
 0.050 0.050   200.1445     4.3737    57.0000   135.0000   281.0000  1371.0000
