Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200     9.6105     0.1854     4.0000     7.0000    13.0000    80.0000
 0.950 0.200    10.3360     0.1898     4.0000     8.0000    13.0000    71.0000
 0.900 0.200    11.1770     0.2194     5.0000     8.0000    14.0000   106.0000
 0.850 0.200    12.0710     0.2363     5.0000     9.0000    16.0000   115.0000
 0.800 0.200    13.1095     0.2479     5.0000    10.0000    17.0000    78.0000
 0.750 0.200    14.2785     0.2721     6.0000    11.0000    19.0000   107.0000
 0.700 0.200    15.8515     0.3045     7.0000    12.0000    21.0000   125.0000
 0.650 0.200    18.0170     0.3575     7.0000    13.0000    24.0000   143.0000
 0.600 0.200    19.7595     0.3755     8.0000    15.0000    27.0000   143.0000
 0.550 0.200    22.1625     0.4454     9.0000    17.0000    29.0000   157.0000
 0.500 0.200    26.1610     0.5224    11.0000    19.0000    35.0000   253.0000
 0.450 0.200    29.9380     0.5819    12.0000    22.0000    39.0000   233.0000
 0.400 0.200    36.0775     0.7413    13.0000    27.0000    48.0000   447.0000
 0.350 0.200    45.6980     0.9510    17.0000    34.0000    60.0000   500.0000
 0.300 0.200    59.8625     1.3134    21.0000    42.0000    81.0000   680.0000
 0.250 0.200    81.8750     1.7637    27.0000    58.0000   111.0000   592.0000
 0.200 0.200   117.9065     2.5994    36.0000    85.0000   160.0000   923.0000
 0.150 0.200   148.6680     3.2406    45.0000   103.0000   203.0000  1098.0000
 0.100 0.200   180.0250     3.9533    54.0000   124.0000   249.0000  1328.0000
 0.050 0.200   195.8730     4.5081    54.0000   135.0000   265.0000  1532.0000
