Shift Radius  ARL  Std  Q1  Med  Q3  Max
 3.000 0.100     8.4840     0.1660     3.0000     6.0000    11.0000    51.0000
 3.000 0.095     8.9995     0.1771     3.0000     7.0000    12.0000    69.0000
 3.000 0.090     9.9565     0.1913     4.0000     7.0000    14.0000    68.0000
 3.000 0.085    10.8185     0.2170     4.0000     8.0000    15.0000    92.0000
 3.000 0.080    11.7860     0.2279     4.0000     9.0000    16.0000    86.0000
 3.000 0.075    13.1100     0.2550     5.0000    10.0000    18.0000    85.0000
 3.000 0.070    13.9455     0.2716     5.0000    10.0000    20.0000    80.0000
 3.000 0.065    15.7330     0.2968     5.0000    12.0000    22.0000    80.0000
 3.000 0.060    18.5425     0.3596     6.0000    14.0000    26.0000   117.0000
 3.000 0.055    20.2250     0.3927     7.0000    15.0000    29.0000   124.0000
 3.000 0.050    23.4085     0.4336     9.0000    18.0000    34.0000   139.0000
 3.000 0.045    26.6990     0.4995    10.0000    21.0000    38.0000   176.0000
 3.000 0.040    30.2105     0.5464    11.0000    24.0000    44.0000   149.0000
 3.000 0.035    37.1475     0.6914    14.0000    30.0000    52.0000   205.0000
 3.000 0.030    45.0590     0.8576    15.0000    36.0000    64.0000   299.0000
 3.000 0.025    56.8805     1.0808    20.0000    45.0000    81.0000   319.0000
 3.000 0.020    77.0655     1.4704    26.0000    62.0000   109.0000   444.0000
 3.000 0.015   105.6620     2.2769    33.0000    77.0000   146.0000   834.0000
 3.000 0.010   141.8830     3.1659    41.0000    99.0000   192.0000  1170.0000
 3.000 0.005   189.3140     4.2556    52.0000   128.0000   265.0000  1651.0000
