Shift Radius  ARL  Std  Q1  Med  Q3  Max
 3.000 0.100     5.7080     0.0888     3.0000     5.0000     8.0000    35.0000
 3.000 0.095     5.9330     0.0945     3.0000     5.0000     8.0000    35.0000
 3.000 0.090     6.4645     0.1084     3.0000     5.0000     9.0000    43.0000
 3.000 0.085     6.9540     0.1146     3.0000     6.0000     9.0000    53.0000
 3.000 0.080     7.6085     0.1236     3.0000     6.0000    11.0000    43.0000
 3.000 0.075     8.3175     0.1388     4.0000     7.0000    11.0000    48.0000
 3.000 0.070     9.1485     0.1525     4.0000     8.0000    13.0000    58.0000
 3.000 0.065     9.7285     0.1586     4.0000     8.0000    14.0000    56.0000
 3.000 0.060    11.0495     0.1894     5.0000     9.0000    15.0000    70.0000
 3.000 0.055    12.4995     0.2214     5.0000    10.0000    17.0000    85.0000
 3.000 0.050    14.4915     0.2572     6.0000    12.0000    20.0000    95.0000
 3.000 0.045    17.1970     0.3183     7.0000    14.0000    23.0000   128.0000
 3.000 0.040    19.7190     0.3653     8.0000    16.0000    27.0000   159.0000
 3.000 0.035    25.2335     0.4644    10.0000    21.0000    34.0000   191.0000
 3.000 0.030    32.2205     0.6439    13.0000    25.0000    43.0000   416.0000
 3.000 0.025    45.0025     0.8995    16.0000    33.0000    62.0000   362.0000
 3.000 0.020    68.9320     1.4970    22.0000    49.0000    92.0000   658.0000
 3.000 0.015    99.6505     2.2586    28.0000    67.0000   137.0000   929.0000
 3.000 0.010   140.0865     3.2155    41.0000    95.0000   192.0000  1187.0000
 3.000 0.005   195.6720     4.4783    52.0000   131.0000   267.0000  1567.0000
