Shift Radius  ARL  Std  Q1  Med  Q3  Max
 3.000 0.100     7.6120     0.1313     3.0000     6.0000    10.0000    43.0000
 3.000 0.095     7.9615     0.1339     3.0000     6.0000    11.0000    41.0000
 3.000 0.090     8.9345     0.1548     4.0000     7.0000    12.0000    40.0000
 3.000 0.085     9.4695     0.1621     4.0000     8.0000    13.0000    51.0000
 3.000 0.080    10.5255     0.1827     4.0000     8.0000    15.0000    58.0000
 3.000 0.075    11.4090     0.2041     4.0000     9.0000    16.0000    71.0000
 3.000 0.070    12.2340     0.2136     5.0000    10.0000    17.0000    71.0000
 3.000 0.065    13.4730     0.2329     5.0000    11.0000    19.0000   130.0000
 3.000 0.060    14.9760     0.2729     6.0000    12.0000    21.0000   103.0000
 3.000 0.055    17.6155     0.3089     7.0000    15.0000    25.0000   127.0000
 3.000 0.050    20.4130     0.3623     8.0000    17.0000    28.0000   140.0000
 3.000 0.045    23.0270     0.4336     9.0000    19.0000    32.0000   201.0000
 3.000 0.040    27.2290     0.5008    10.0000    22.0000    38.0000   187.0000
 3.000 0.035    34.4725     0.7195    12.0000    27.0000    46.0000   320.0000
 3.000 0.030    43.8540     0.8839    16.0000    34.0000    60.0000   319.0000
 3.000 0.025    59.4800     1.2658    20.0000    43.0000    80.0000   463.0000
 3.000 0.020    83.7190     1.7958    25.0000    58.0000   118.0000   516.0000
 3.000 0.015   118.1470     2.4897    37.0000    86.0000   162.0000   866.0000
 3.000 0.010   147.3545     3.2827    43.0000   102.0000   206.0000  1203.0000
 3.000 0.005   178.5620     4.1861    49.0000   117.0000   248.0000  1535.0000
