Shift Radius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200     9.6225     0.1718     4.0000     7.0000    13.0000    75.0000
 0.950 0.200    10.2550     0.1927     5.0000     8.0000    13.0000    80.0000
 0.900 0.200    10.7525     0.2116     5.0000     8.0000    14.0000    99.0000
 0.850 0.200    11.9445     0.2183     5.0000     9.0000    16.0000    72.0000
 0.800 0.200    13.0870     0.2486     6.0000    10.0000    17.0000   116.0000
 0.750 0.200    14.0205     0.2708     6.0000    11.0000    18.0000   113.0000
 0.700 0.200    15.8530     0.3039     7.0000    12.0000    21.0000   125.0000
 0.650 0.200    17.1350     0.3310     7.0000    13.0000    22.0000   134.0000
 0.600 0.200    19.7210     0.3850     8.0000    15.0000    26.0000   159.0000
 0.550 0.200    21.9820     0.4357     9.0000    17.0000    28.0000   176.0000
 0.500 0.200    25.3995     0.4988    10.0000    19.0000    33.0000   241.0000
 0.450 0.200    31.5405     0.6276    12.0000    24.0000    41.0000   304.0000
 0.400 0.200    37.4995     0.7189    16.0000    29.0000    49.0000   297.0000
 0.350 0.200    45.8780     0.9105    18.0000    34.0000    61.0000   354.0000
 0.300 0.200    61.5895     1.2737    21.0000    44.0000    85.0000   404.0000
 0.250 0.200    84.1630     1.8742    27.0000    59.0000   113.0000   796.0000
 0.200 0.200   117.0890     2.6235    35.0000    78.0000   159.0000   820.0000
 0.150 0.200   153.1775     3.4555    45.0000   104.0000   212.0000  1574.0000
 0.100 0.200   182.3545     4.1341    57.0000   124.0000   242.0000  1820.0000
 0.050 0.200   191.6585     4.2084    56.0000   136.0000   266.0000  1450.0000
