Shift Radius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200     9.8255     0.1820     4.0000     7.0000    13.0000    75.0000
 0.950 0.200    10.6660     0.2130     4.0000     8.0000    14.0000    89.0000
 0.900 0.200    11.2450     0.2091     5.0000     9.0000    15.0000    71.0000
 0.850 0.200    11.9545     0.2392     5.0000     9.0000    15.0000   110.0000
 0.800 0.200    13.2140     0.2520     6.0000    10.0000    17.0000   103.0000
 0.750 0.200    14.6340     0.2863     6.0000    11.0000    19.0000   111.0000
 0.700 0.200    16.2920     0.3026     7.0000    12.0000    22.0000   106.0000
 0.650 0.200    17.7165     0.3403     7.0000    13.0000    23.0000   133.0000
 0.600 0.200    20.1520     0.4173     8.0000    15.0000    26.0000   255.0000
 0.550 0.200    22.9170     0.4496     9.0000    17.0000    31.0000   185.0000
 0.500 0.200    27.5115     0.5542    11.0000    21.0000    37.0000   208.0000
 0.450 0.200    32.8725     0.6233    13.0000    25.0000    45.0000   228.0000
 0.400 0.200    40.9615     0.8193    16.0000    31.0000    55.0000   443.0000
 0.350 0.200    51.3000     1.1022    18.0000    37.0000    68.0000   421.0000
 0.300 0.200    68.6410     1.4616    25.0000    49.0000    91.0000   693.0000
 0.250 0.200    91.1485     2.0243    29.0000    64.0000   121.0000   835.0000
 0.200 0.200   125.4020     2.7935    38.0000    87.0000   171.0000  1025.0000
 0.150 0.200   164.1465     3.7835    45.0000   116.0000   224.0000  1380.0000
 0.100 0.200   179.4555     4.0240    51.0000   124.0000   249.0000  1391.0000
 0.050 0.200   195.1060     4.3389    55.0000   136.0000   274.0000  1389.0000
