Shift Radius  ARL  Std  Q1  Med  Q3  Max
 3.000 0.100     6.3645     0.1096     3.0000     5.0000     9.0000    48.0000
 3.000 0.095     6.5300     0.1075     3.0000     5.0000     9.0000    41.0000
 3.000 0.090     7.3580     0.1233     3.0000     6.0000    10.0000    55.0000
 3.000 0.085     7.7280     0.1261     3.0000     6.0000    11.0000    38.0000
 3.000 0.080     8.4580     0.1459     3.0000     7.0000    12.0000    39.0000
 3.000 0.075     9.0910     0.1547     4.0000     7.0000    13.0000    77.0000
 3.000 0.070    10.0080     0.1659     4.0000     8.0000    14.0000    47.0000
 3.000 0.065    10.9350     0.1841     5.0000     9.0000    15.0000    61.0000
 3.000 0.060    12.1905     0.2066     5.0000    10.0000    17.0000    88.0000
 3.000 0.055    14.3560     0.2496     6.0000    12.0000    20.0000    78.0000
 3.000 0.050    16.3590     0.2878     7.0000    14.0000    22.0000    98.0000
 3.000 0.045    18.4730     0.3428     7.0000    15.0000    25.0000   180.0000
 3.000 0.040    22.3710     0.4034    10.0000    18.0000    30.0000   152.0000
 3.000 0.035    27.1495     0.5006    10.0000    23.0000    37.0000   233.0000
 3.000 0.030    36.5790     0.7059    14.0000    29.0000    50.0000   278.0000
 3.000 0.025    49.7070     1.0721    16.0000    35.0000    67.0000   481.0000
 3.000 0.020    74.0860     1.6481    22.0000    52.0000   101.0000   547.0000
 3.000 0.015   102.5880     2.2988    29.0000    70.0000   143.0000   672.0000
 3.000 0.010   145.4365     3.3241    41.0000   104.0000   200.0000  1244.0000
 3.000 0.005   186.0510     4.1582    54.0000   130.0000   253.0000  1476.0000
