Shift Radius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200     8.4845     0.1382     4.0000     7.0000    11.0000    66.0000
 0.950 0.200     9.0895     0.1511     5.0000     7.0000    12.0000    50.0000
 0.900 0.200    10.2215     0.1677     5.0000     8.0000    14.0000    79.0000
 0.850 0.200    10.7820     0.1784     5.0000     9.0000    14.0000    68.0000
 0.800 0.200    12.0385     0.2038     6.0000     9.0000    16.0000    89.0000
 0.750 0.200    13.1175     0.2218     6.0000    11.0000    17.0000    71.0000
 0.700 0.200    14.0110     0.2364     7.0000    12.0000    18.0000   141.0000
 0.650 0.200    16.3050     0.2717     8.0000    13.0000    22.0000    90.0000
 0.600 0.200    18.7535     0.3254     9.0000    15.0000    25.0000   141.0000
 0.550 0.200    20.9115     0.3932     9.0000    16.0000    27.0000   226.0000
 0.500 0.200    25.4070     0.4719    11.0000    20.0000    33.0000   170.0000
 0.450 0.200    29.9150     0.5565    13.0000    23.0000    39.0000   192.0000
 0.400 0.200    37.7965     0.7188    16.0000    29.0000    50.0000   285.0000
 0.350 0.200    48.5255     0.9796    18.0000    36.0000    64.0000   508.0000
 0.300 0.200    65.8925     1.3347    25.0000    48.0000    87.0000   470.0000
 0.250 0.200    91.5965     2.0013    30.0000    64.0000   123.0000   794.0000
 0.200 0.200   124.3305     2.6354    41.0000    87.0000   172.0000   860.0000
 0.150 0.200   159.5730     3.5591    47.0000   113.0000   218.0000  1373.0000
 0.100 0.200   175.7445     3.9018    52.0000   123.0000   242.0000  1696.0000
 0.050 0.200   204.0860     4.6921    55.0000   133.0000   277.0000  1332.0000
