Shift Radius  ARL  Std  Q1  Med  Q3  Max
 3.000 0.100     6.4800     0.1161     3.0000     5.0000     9.0000    69.0000
 3.000 0.095     7.2740     0.1380     3.0000     6.0000    10.0000   103.0000
 3.000 0.090     7.5365     0.1379     3.0000     6.0000    10.0000    60.0000
 3.000 0.085     8.3000     0.1540     3.0000     6.0000    11.0000    59.0000
 3.000 0.080     9.1325     0.1976     4.0000     7.0000    12.0000   168.0000
 3.000 0.075    10.5910     0.2150     4.0000     8.0000    14.0000   101.0000
 3.000 0.070    12.1425     0.2706     5.0000     9.0000    16.0000   186.0000
 3.000 0.065    13.7795     0.2951     5.0000    10.0000    18.0000   112.0000
 3.000 0.060    16.0545     0.3686     6.0000    11.0000    20.0000   203.0000
 3.000 0.055    19.7100     0.4669     6.0000    14.0000    26.0000   247.0000
 3.000 0.050    24.0955     0.5689     7.0000    16.0000    32.0000   246.0000
 3.000 0.045    29.1600     0.7059     9.0000    19.0000    39.0000   400.0000
 3.000 0.040    38.6320     0.8980    10.0000    25.0000    53.0000   314.0000
 3.000 0.035    49.2905     1.1290    14.0000    32.0000    68.0000   390.0000
 3.000 0.030    64.2975     1.5040    16.0000    42.0000    91.0000   541.0000
 3.000 0.025    83.5380     1.9329    22.0000    56.0000   116.0000   802.0000
 3.000 0.020   108.3640     2.4156    28.0000    75.0000   150.0000   762.0000
 3.000 0.015   132.2075     2.9941    36.0000    93.0000   183.0000  1123.0000
 3.000 0.010   160.9220     3.7099    47.0000   111.0000   225.0000  1489.0000
 3.000 0.005   192.2095     4.4127    54.0000   131.0000   271.0000  1825.0000
