Shift Radius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200    10.3015     0.1795     5.0000     8.0000    13.0000    60.0000
 0.950 0.200    11.3960     0.2115     5.0000     9.0000    15.0000    94.0000
 0.900 0.200    12.3950     0.2291     6.0000    10.0000    16.0000    98.0000
 0.850 0.200    13.7245     0.2519     6.0000    10.0000    18.0000    99.0000
 0.800 0.200    15.1310     0.2880     7.0000    12.0000    20.0000   109.0000
 0.750 0.200    16.8890     0.3252     7.0000    13.0000    22.0000   137.0000
 0.700 0.200    19.3600     0.3918     8.0000    15.0000    25.0000   185.0000
 0.650 0.200    21.7230     0.4212     9.0000    16.0000    29.0000   176.0000
 0.600 0.200    25.6705     0.5004    10.0000    19.0000    34.0000   189.0000
 0.550 0.200    30.5680     0.6092    12.0000    22.0000    39.0000   204.0000
 0.500 0.200    35.8740     0.7284    13.0000    26.0000    49.0000   265.0000
 0.450 0.200    44.9400     0.9533    16.0000    33.0000    59.0000   391.0000
 0.400 0.200    59.9615     1.3344    20.0000    41.0000    81.0000   561.0000
 0.350 0.200    76.2520     1.6415    25.0000    54.0000   104.0000   601.0000
 0.300 0.200   103.5060     2.2838    32.0000    72.0000   140.0000   841.0000
 0.250 0.200   126.6330     2.7931    39.0000    88.0000   175.0000  1034.0000
 0.200 0.200   156.1285     3.6015    44.0000   110.0000   213.0000  1470.0000
 0.150 0.200   182.0295     3.9200    55.0000   131.0000   252.0000  1213.0000
 0.100 0.200   198.4510     4.5160    54.0000   139.0000   273.0000  1527.0000
 0.050 0.200   206.5935     4.4223    59.0000   144.0000   290.0000  1393.0000
