Shift Radius  ARL  Std  Q1  Med  Q3  Max
 3.000 0.100     6.5515     0.1086     3.0000     5.0000     9.0000    38.0000
 3.000 0.095     6.9925     0.1181     3.0000     6.0000    10.0000    51.0000
 3.000 0.090     7.3155     0.1260     3.0000     6.0000    10.0000    38.0000
 3.000 0.085     7.9215     0.1338     3.0000     6.0000    11.0000    45.0000
 3.000 0.080     8.8060     0.1534     4.0000     7.0000    12.0000    64.0000
 3.000 0.075     9.3405     0.1642     4.0000     7.0000    13.0000    51.0000
 3.000 0.070    10.6580     0.1824     4.0000     9.0000    15.0000    67.0000
 3.000 0.065    11.6675     0.2013     5.0000    10.0000    16.0000    74.0000
 3.000 0.060    12.6210     0.2170     5.0000    10.0000    18.0000    68.0000
 3.000 0.055    14.5395     0.2582     6.0000    12.0000    20.0000   110.0000
 3.000 0.050    17.0060     0.3140     7.0000    14.0000    24.0000   119.0000
 3.000 0.045    19.0875     0.3610     7.0000    15.0000    26.0000   172.0000
 3.000 0.040    23.5870     0.4519     9.0000    19.0000    33.0000   231.0000
 3.000 0.035    28.3310     0.5053    11.0000    23.0000    40.0000   162.0000
 3.000 0.030    37.8510     0.7219    15.0000    29.0000    52.0000   243.0000
 3.000 0.025    50.8285     1.0587    18.0000    38.0000    68.0000   370.0000
 3.000 0.020    70.2550     1.5357    21.0000    49.0000    96.0000   505.0000
 3.000 0.015   100.8430     2.2096    30.0000    71.0000   142.0000   779.0000
 3.000 0.010   144.9410     3.1411    44.0000   101.0000   205.0000  1630.0000
 3.000 0.005   180.5315     3.9846    52.0000   126.0000   249.0000  1978.0000
