Shift Radius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200     9.5450     0.1874     4.0000     7.0000    12.0000    78.0000
 0.950 0.200     9.7160     0.1703     4.0000     8.0000    13.0000    64.0000
 0.900 0.200    10.9190     0.2089     5.0000     8.0000    14.0000   100.0000
 0.850 0.200    12.1075     0.2274     5.0000     9.0000    16.0000   103.0000
 0.800 0.200    13.2750     0.2447     6.0000    10.0000    18.0000    76.0000
 0.750 0.200    15.4420     0.2982     6.0000    11.0000    20.0000   105.0000
 0.700 0.200    16.8450     0.3564     7.0000    12.0000    22.0000   218.0000
 0.650 0.200    19.0715     0.3873     8.0000    14.0000    24.0000   217.0000
 0.600 0.200    22.2915     0.4435     9.0000    16.0000    30.0000   176.0000
 0.550 0.200    27.0590     0.5402    10.0000    20.0000    36.0000   185.0000
 0.500 0.200    34.8385     0.7354    13.0000    26.0000    46.0000   317.0000
 0.450 0.200    43.6720     0.9432    15.0000    31.0000    58.0000   342.0000
 0.400 0.200    60.4400     1.3187    19.0000    42.0000    82.0000   445.0000
 0.350 0.200    81.0165     1.8218    25.0000    54.0000   110.0000   700.0000
 0.300 0.200   107.1825     2.4132    32.0000    74.0000   146.0000  1049.0000
 0.250 0.200   134.7230     3.1324    37.0000    91.0000   184.0000  1152.0000
 0.200 0.200   158.8075     3.7051    45.0000   108.0000   218.0000  1542.0000
 0.150 0.200   180.5435     4.0428    50.0000   125.0000   258.0000  1301.0000
 0.100 0.200   196.8415     4.4953    51.0000   133.0000   279.0000  1631.0000
 0.050 0.200   206.5785     4.7207    55.0000   146.0000   286.0000  1621.0000
