Shift Radius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200     9.9385     0.1906     4.0000     7.0000    13.0000    94.0000
 0.950 0.200    10.6000     0.1957     4.0000     8.0000    14.0000    82.0000
 0.900 0.200    11.2365     0.2086     5.0000     9.0000    15.0000    96.0000
 0.850 0.200    11.9700     0.2292     5.0000     9.0000    16.0000   134.0000
 0.800 0.200    13.6235     0.2660     6.0000    10.0000    17.0000    89.0000
 0.750 0.200    14.5260     0.2818     6.0000    11.0000    19.0000   145.0000
 0.700 0.200    15.9080     0.3071     7.0000    12.0000    21.0000   124.0000
 0.650 0.200    17.4895     0.3434     7.0000    13.0000    23.0000   137.0000
 0.600 0.200    19.7140     0.4084     8.0000    14.0000    25.0000   163.0000
 0.550 0.200    21.8765     0.4262     9.0000    16.0000    29.0000   160.0000
 0.500 0.200    25.3555     0.4816    10.0000    19.0000    34.0000   166.0000
 0.450 0.200    28.9985     0.5804    12.0000    22.0000    38.0000   309.0000
 0.400 0.200    35.2735     0.7087    14.0000    25.0000    46.0000   314.0000
 0.350 0.200    43.3610     0.9103    17.0000    32.0000    56.0000   377.0000
 0.300 0.200    56.9080     1.1891    20.0000    41.0000    77.0000   559.0000
 0.250 0.200    77.3710     1.6807    26.0000    56.0000   101.0000   647.0000
 0.200 0.200   111.3380     2.4486    36.0000    79.0000   147.0000   895.0000
 0.150 0.200   142.0685     3.2908    41.0000    99.0000   192.0000  1333.0000
 0.100 0.200   172.2690     3.8626    50.0000   119.0000   240.0000  1555.0000
 0.050 0.200   198.7030     4.4057    59.0000   137.0000   273.0000  1614.0000
