Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200     8.5948     0.0836     4.0000     7.0000    11.0000    52.0000
 1.000 0.190     9.0396     0.0924     5.0000     7.0000    12.0000    55.0000
 1.000 0.180     9.6684     0.0977     5.0000     8.0000    13.0000    66.0000
 1.000 0.170    10.4510     0.1105     5.0000     9.0000    13.0000   103.0000
 1.000 0.160    10.9902     0.1147     5.0000     9.0000    14.0000    87.0000
 1.000 0.150    11.9420     0.1262     6.0000    10.0000    16.0000    78.0000
 1.000 0.140    13.3908     0.1541     6.0000    11.0000    17.0000   116.0000
 1.000 0.130    14.6172     0.1668     6.0000    12.0000    19.0000   143.0000
 1.000 0.120    15.7886     0.1816     7.0000    12.0000    21.0000   109.0000
 1.000 0.110    18.4196     0.2410     8.0000    14.0000    24.0000   358.0000
 1.000 0.100    21.1502     0.2475     9.0000    16.0000    28.0000   150.0000
 1.000 0.090    23.7828     0.2950    10.0000    18.0000    31.0000   227.0000
 1.000 0.080    27.3734     0.3576    10.0000    20.0000    36.0000   301.0000
 1.000 0.070    34.1244     0.4462    12.0000    25.0000    45.0000   347.0000
 1.000 0.060    42.4274     0.5545    15.0000    31.0000    57.0000   347.0000
 1.000 0.050    56.1112     0.7740    18.0000    40.0000    76.0000   546.0000
 1.000 0.040    77.7046     1.0958    24.0000    53.0000   106.0000   735.0000
 1.000 0.030   105.1084     1.4971    31.0000    72.0000   145.0000   881.0000
 1.000 0.020   144.6908     2.0632    41.0000    98.0000   202.0000  1794.0000
 1.000 0.010   179.1646     2.5229    52.0000   124.0000   250.0000  1955.0000
