Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 0.500 0.200    46.2456     0.5418    20.0000    36.0000    62.0000   327.0000
 0.500 0.190    49.2922     0.5793    20.0000    38.0000    67.0000   345.0000
 0.500 0.180    50.8800     0.6205    21.0000    39.0000    68.0000   433.0000
 0.500 0.170    54.3926     0.6654    22.0000    41.0000    72.0000   399.0000
 0.500 0.160    57.6856     0.7258    23.0000    45.0000    77.0000   560.0000
 0.500 0.150    60.8084     0.7506    24.0000    46.0000    82.0000   445.0000
 0.500 0.140    67.5140     0.8392    26.0000    51.0000    90.0000   463.0000
 0.500 0.130    70.0832     0.8925    26.0000    52.0000    94.0000   579.0000
 0.500 0.120    74.1922     0.9501    27.0000    55.0000   100.0000   592.0000
 0.500 0.110    79.7184     1.0265    29.0000    59.0000   108.0000   714.0000
 0.500 0.100    86.5582     1.0530    33.0000    67.0000   117.0000   596.0000
 0.500 0.090    93.4140     1.2093    33.0000    68.0000   128.0000   879.0000
 0.500 0.080   103.9360     1.3371    37.0000    77.0000   143.0000   791.0000
 0.500 0.070   111.6604     1.4655    38.0000    83.0000   153.0000   977.0000
 0.500 0.060   123.6700     1.6666    40.0000    88.0000   173.0000   943.0000
 0.500 0.050   141.0802     1.9215    46.0000   100.0000   194.0000  1335.0000
 0.500 0.040   159.6078     2.1974    51.0000   113.0000   217.0000  1530.0000
 0.500 0.030   173.9490     2.4571    52.0000   121.0000   240.0000  1676.0000
 0.500 0.020   183.2842     2.5876    54.0000   126.0000   252.0000  2000.0000
 0.500 0.010   192.7628     2.7285    54.0000   133.0000   267.0000  1763.0000
