Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     4.6712     0.0526     2.0000     3.0000     6.0000    35.0000
 2.000 0.190     4.9482     0.0567     2.0000     4.0000     6.0000    63.0000
 2.000 0.180     5.2248     0.0588     2.0000     4.0000     7.0000    32.0000
 2.000 0.170     5.6216     0.0661     2.0000     4.0000     7.0000    56.0000
 2.000 0.160     6.1286     0.0701     3.0000     5.0000     8.0000    50.0000
 2.000 0.150     6.6218     0.0768     3.0000     5.0000     9.0000    47.0000
 2.000 0.140     7.2734     0.0845     3.0000     6.0000    10.0000    50.0000
 2.000 0.130     7.8428     0.0910     3.0000     6.0000    11.0000    66.0000
 2.000 0.120     8.7970     0.1055     3.0000     7.0000    12.0000    78.0000
 2.000 0.110     9.9536     0.1200     4.0000     7.0000    14.0000    96.0000
 2.000 0.100    11.1674     0.1348     4.0000     8.0000    15.0000   101.0000
 2.000 0.090    12.6428     0.1521     5.0000    10.0000    17.0000    98.0000
 2.000 0.080    15.1732     0.1827     6.0000    12.0000    21.0000   135.0000
 2.000 0.070    18.3012     0.2318     7.0000    14.0000    25.0000   215.0000
 2.000 0.060    23.1338     0.2917     8.0000    18.0000    31.0000   229.0000
 2.000 0.050    29.5928     0.3756    11.0000    23.0000    40.0000   264.0000
 2.000 0.040    40.8370     0.5606    13.0000    30.0000    55.0000   542.0000
 2.000 0.030    61.9788     0.8428    20.0000    45.0000    85.0000   572.0000
 2.000 0.020    99.5514     1.4137    29.0000    67.0000   137.0000   799.0000
 2.000 0.010   157.9622     2.2797    45.0000   107.0000   217.0000  1473.0000
