Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 0.500 0.200    23.8164     0.2780    10.0000    19.0000    31.0000   203.0000
 0.500 0.190    25.1602     0.3018    11.0000    19.0000    33.0000   304.0000
 0.500 0.180    27.3820     0.3352    12.0000    21.0000    35.0000   228.0000
 0.500 0.170    29.7404     0.3616    13.0000    23.0000    39.0000   292.0000
 0.500 0.160    31.2646     0.3923    13.0000    24.0000    41.0000   449.0000
 0.500 0.150    33.2440     0.4035    14.0000    26.0000    43.0000   280.0000
 0.500 0.140    36.9002     0.4643    14.0000    28.0000    49.0000   443.0000
 0.500 0.130    40.3030     0.5065    16.0000    30.0000    54.0000   422.0000
 0.500 0.120    46.0260     0.5954    17.0000    34.0000    62.0000   458.0000
 0.500 0.110    50.3180     0.6656    18.0000    36.0000    67.0000   430.0000
 0.500 0.100    56.6772     0.7607    20.0000    41.0000    75.0000   453.0000
 0.500 0.090    65.3670     0.8946    22.0000    46.0000    86.0000   662.0000
 0.500 0.080    74.6146     1.0036    25.0000    53.0000   102.0000   695.0000
 0.500 0.070    85.1358     1.1743    27.0000    59.0000   115.0000   792.0000
 0.500 0.060    98.0828     1.3653    30.0000    71.0000   132.0000   792.0000
 0.500 0.050   117.7924     1.6363    36.0000    83.0000   162.0000  1067.0000
 0.500 0.040   137.2426     1.9704    39.0000    94.0000   188.0000  1488.0000
 0.500 0.030   159.6216     2.2824    48.0000   109.0000   220.0000  1644.0000
 0.500 0.020   180.4786     2.5752    49.0000   124.0000   244.0000  1522.0000
 0.500 0.010   195.4144     2.7349    57.0000   136.0000   274.0000  1686.0000
