Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     3.8354     0.0298     2.0000     3.0000     5.0000    20.0000
 2.000 0.190     4.0190     0.0317     2.0000     3.0000     5.0000    27.0000
 2.000 0.180     4.2830     0.0341     3.0000     4.0000     5.0000    25.0000
 2.000 0.170     4.4758     0.0360     3.0000     4.0000     6.0000    22.0000
 2.000 0.160     4.7656     0.0396     3.0000     4.0000     6.0000    27.0000
 2.000 0.150     5.0180     0.0426     3.0000     4.0000     6.0000    35.0000
 2.000 0.140     5.3914     0.0473     3.0000     5.0000     7.0000    44.0000
 2.000 0.130     5.7160     0.0511     3.0000     5.0000     7.0000    41.0000
 2.000 0.120     6.3410     0.0571     4.0000     5.0000     8.0000    42.0000
 2.000 0.110     7.1218     0.0733     4.0000     6.0000     9.0000   116.0000
 2.000 0.100     7.9506     0.0800     4.0000     7.0000    10.0000    64.0000
 2.000 0.090     8.9978     0.0966     4.0000     7.0000    12.0000    74.0000
 2.000 0.080    10.6370     0.1227     5.0000     9.0000    14.0000   123.0000
 2.000 0.070    12.9148     0.1526     6.0000    10.0000    17.0000   169.0000
 2.000 0.060    16.9956     0.2201     7.0000    13.0000    22.0000   226.0000
 2.000 0.050    24.0156     0.3253     8.0000    17.0000    32.0000   210.0000
 2.000 0.040    38.1496     0.5356    11.0000    26.0000    52.0000   358.0000
 2.000 0.030    64.8268     0.9275    18.0000    45.0000    88.0000   666.0000
 2.000 0.020   103.4774     1.4894    28.0000    72.0000   145.0000   994.0000
 2.000 0.010   159.8622     2.2507    47.0000   111.0000   219.0000  1217.0000
