Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 0.500 0.200    27.4536     0.3622    10.0000    20.0000    37.0000   226.0000
 0.500 0.190    28.2702     0.3730    10.0000    20.0000    37.0000   349.0000
 0.500 0.180    30.4950     0.3923    11.0000    22.0000    41.0000   294.0000
 0.500 0.170    32.4176     0.4232    12.0000    24.0000    44.0000   316.0000
 0.500 0.160    35.5546     0.4784    12.0000    26.0000    47.0000   389.0000
 0.500 0.150    38.9058     0.5066    14.0000    28.0000    53.0000   343.0000
 0.500 0.140    42.9866     0.5651    14.0000    31.0000    59.0000   382.0000
 0.500 0.130    47.0440     0.6379    16.0000    33.0000    64.0000   427.0000
 0.500 0.120    51.9406     0.6977    17.0000    37.0000    70.0000   431.0000
 0.500 0.110    56.9866     0.7904    18.0000    40.0000    77.0000   533.0000
 0.500 0.100    63.7428     0.8663    21.0000    46.0000    86.0000   542.0000
 0.500 0.090    73.2918     0.9822    23.0000    52.0000   103.0000   637.0000
 0.500 0.080    81.6654     1.1233    26.0000    58.0000   111.0000   725.0000
 0.500 0.070    93.1270     1.2663    30.0000    66.0000   127.0000   774.0000
 0.500 0.060   108.4642     1.4815    33.0000    77.0000   152.0000   893.0000
 0.500 0.050   121.7036     1.6633    37.0000    87.0000   168.0000   772.0000
 0.500 0.040   141.4864     1.9784    41.0000   100.0000   195.0000  1247.0000
 0.500 0.030   164.7200     2.3027    49.0000   117.0000   224.0000  1274.0000
 0.500 0.020   186.2342     2.6771    53.0000   130.0000   259.0000  1821.0000
 0.500 0.010   192.1804     2.6944    55.0000   133.0000   272.0000  1528.0000
