Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200     9.6826     0.0808     6.0000     9.0000    12.0000    56.0000
 1.000 0.190    10.1038     0.0857     6.0000     9.0000    13.0000    56.0000
 1.000 0.180    10.7568     0.0959     6.0000     9.0000    14.0000    93.0000
 1.000 0.170    11.4298     0.0995     7.0000    10.0000    15.0000    84.0000
 1.000 0.160    12.2156     0.1114     7.0000    11.0000    16.0000    65.0000
 1.000 0.150    12.7374     0.1162     7.0000    11.0000    16.0000    87.0000
 1.000 0.140    13.9448     0.1365     7.0000    12.0000    18.0000   141.0000
 1.000 0.130    14.9430     0.1496     8.0000    13.0000    20.0000   183.0000
 1.000 0.120    16.6096     0.1672     9.0000    14.0000    21.0000   123.0000
 1.000 0.110    18.2902     0.1977     9.0000    15.0000    23.0000   150.0000
 1.000 0.100    20.6462     0.2318    10.0000    16.0000    27.0000   216.0000
 1.000 0.090    23.6138     0.2648    11.0000    19.0000    30.0000   179.0000
 1.000 0.080    29.5164     0.3754    12.0000    22.0000    38.0000   272.0000
 1.000 0.070    35.9416     0.4824    13.0000    26.0000    47.0000   416.0000
 1.000 0.060    46.0414     0.6062    17.0000    33.0000    61.0000   331.0000
 1.000 0.050    59.9182     0.7966    20.0000    42.0000    82.0000   466.0000
 1.000 0.040    77.3588     1.0955    23.0000    52.0000   106.0000   670.0000
 1.000 0.030   103.9446     1.4601    31.0000    71.0000   143.0000   960.0000
 1.000 0.020   143.3592     2.0253    40.0000   100.0000   200.0000  1382.0000
 1.000 0.010   180.7572     2.5341    53.0000   127.0000   250.0000  1858.0000
