Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     4.2230     0.0318     3.0000     4.0000     5.0000    33.0000
 2.000 0.190     4.4136     0.0322     3.0000     4.0000     6.0000    23.0000
 2.000 0.180     4.6492     0.0365     3.0000     4.0000     6.0000    31.0000
 2.000 0.170     4.9470     0.0418     3.0000     4.0000     6.0000    50.0000
 2.000 0.160     5.1534     0.0456     3.0000     5.0000     6.0000    57.0000
 2.000 0.150     5.6724     0.0559     3.0000     5.0000     7.0000    47.0000
 2.000 0.140     5.9994     0.0632     3.0000     5.0000     7.0000   112.0000
 2.000 0.130     6.5790     0.0708     4.0000     5.0000     8.0000    71.0000
 2.000 0.120     7.4442     0.0931     4.0000     6.0000     9.0000   106.0000
 2.000 0.110     8.6850     0.1098     4.0000     6.0000    10.0000   127.0000
 2.000 0.100    10.5084     0.1497     4.0000     7.0000    12.0000   136.0000
 2.000 0.090    12.6786     0.1797     5.0000     8.0000    16.0000   144.0000
 2.000 0.080    15.6918     0.2241     6.0000    10.0000    20.0000   137.0000
 2.000 0.070    20.2408     0.2972     6.0000    13.0000    26.0000   191.0000
 2.000 0.060    26.3316     0.3883     8.0000    17.0000    35.0000   344.0000
 2.000 0.050    35.6688     0.5311    10.0000    23.0000    49.0000   471.0000
 2.000 0.040    50.6492     0.7229    14.0000    35.0000    70.0000   468.0000
 2.000 0.030    71.8424     1.0257    20.0000    49.0000   101.0000   701.0000
 2.000 0.020   109.1254     1.5757    31.0000    74.0000   151.0000  1351.0000
 2.000 0.010   161.1034     2.3169    45.0000   110.0000   222.0000  1461.0000
