Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 0.500 0.200    24.6228     0.3031    10.0000    18.0000    32.0000   246.0000
 0.500 0.190    25.5538     0.3116    11.0000    19.0000    33.0000   211.0000
 0.500 0.180    27.4796     0.3382    11.0000    21.0000    36.0000   330.0000
 0.500 0.170    29.6990     0.3687    12.0000    22.0000    39.0000   216.0000
 0.500 0.160    32.7572     0.4238    13.0000    24.0000    44.0000   383.0000
 0.500 0.150    34.6826     0.4394    13.0000    26.0000    46.0000   243.0000
 0.500 0.140    38.4594     0.5012    14.0000    28.0000    52.0000   390.0000
 0.500 0.130    41.7794     0.5393    15.0000    31.0000    57.0000   374.0000
 0.500 0.120    46.4280     0.6105    16.0000    33.0000    63.0000   369.0000
 0.500 0.110    51.4630     0.7091    18.0000    36.0000    69.0000   522.0000
 0.500 0.100    59.6578     0.8025    21.0000    42.0000    80.0000   520.0000
 0.500 0.090    66.8038     0.8781    23.0000    49.0000    90.0000   532.0000
 0.500 0.080    77.1300     1.0336    26.0000    56.0000   106.0000   783.0000
 0.500 0.070    88.6022     1.2156    28.0000    63.0000   121.0000   834.0000
 0.500 0.060   104.1396     1.4703    31.0000    72.0000   142.0000   963.0000
 0.500 0.050   120.0426     1.6662    37.0000    84.0000   166.0000  1140.0000
 0.500 0.040   141.3028     2.0100    42.0000    99.0000   194.0000  1403.0000
 0.500 0.030   164.7488     2.2815    50.0000   115.0000   226.0000  1219.0000
 0.500 0.020   183.1676     2.5145    55.0000   128.0000   257.0000  1359.0000
 0.500 0.010   202.0456     2.9138    58.0000   140.0000   280.0000  2000.0000
