Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     4.1358     0.0283     3.0000     4.0000     5.0000    18.0000
 2.000 0.190     4.2990     0.0294     3.0000     4.0000     5.0000    20.0000
 2.000 0.180     4.5330     0.0310     3.0000     4.0000     6.0000    21.0000
 2.000 0.170     4.7466     0.0335     3.0000     4.0000     6.0000    28.0000
 2.000 0.160     4.9716     0.0363     3.0000     5.0000     6.0000    26.0000
 2.000 0.150     5.3326     0.0443     3.0000     5.0000     7.0000    86.0000
 2.000 0.140     5.6852     0.0456     4.0000     5.0000     7.0000    48.0000
 2.000 0.130     6.2032     0.0556     4.0000     5.0000     8.0000    54.0000
 2.000 0.120     6.6350     0.0621     4.0000     6.0000     8.0000    54.0000
 2.000 0.110     7.3590     0.0795     4.0000     6.0000     9.0000    80.0000
 2.000 0.100     8.4936     0.1001     4.0000     7.0000    10.0000    95.0000
 2.000 0.090     9.8636     0.1251     5.0000     8.0000    12.0000   135.0000
 2.000 0.080    12.8458     0.1793     5.0000     9.0000    16.0000   209.0000
 2.000 0.070    16.5434     0.2488     6.0000    11.0000    20.0000   367.0000
 2.000 0.060    23.0894     0.3352     7.0000    15.0000    31.0000   306.0000
 2.000 0.050    32.7056     0.4850     9.0000    21.0000    45.0000   476.0000
 2.000 0.040    46.3000     0.6932    12.0000    30.0000    62.0000   562.0000
 2.000 0.030    72.4684     1.0501    19.0000    50.0000   100.0000   680.0000
 2.000 0.020   111.4628     1.5570    31.0000    77.0000   158.0000  1164.0000
 2.000 0.010   166.1264     2.3683    47.0000   113.0000   227.0000  1234.0000
