Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 0.500 0.200    29.3664     0.3230    13.0000    24.0000    39.0000   278.0000
 0.500 0.190    30.6834     0.3516    14.0000    24.0000    40.0000   316.0000
 0.500 0.180    32.8236     0.3730    15.0000    26.0000    44.0000   331.0000
 0.500 0.170    34.6778     0.3963    16.0000    27.0000    46.0000   283.0000
 0.500 0.160    36.5940     0.4282    16.0000    29.0000    48.0000   306.0000
 0.500 0.150    39.8374     0.4691    17.0000    31.0000    53.0000   266.0000
 0.500 0.140    42.9552     0.5243    17.0000    33.0000    57.0000   377.0000
 0.500 0.130    47.2436     0.5773    19.0000    36.0000    63.0000   524.0000
 0.500 0.120    52.0242     0.6411    21.0000    39.0000    69.0000   389.0000
 0.500 0.110    57.2322     0.7106    22.0000    43.0000    78.0000   501.0000
 0.500 0.100    62.3410     0.8011    23.0000    47.0000    83.0000   789.0000
 0.500 0.090    70.2150     0.9119    25.0000    52.0000    94.0000   538.0000
 0.500 0.080    80.5444     1.0327    29.0000    59.0000   111.0000   702.0000
 0.500 0.070    90.5472     1.1969    30.0000    67.0000   123.0000   811.0000
 0.500 0.060   105.6910     1.4818    34.0000    72.0000   145.0000  1057.0000
 0.500 0.050   125.6254     1.7453    38.0000    88.0000   169.0000  1063.0000
 0.500 0.040   141.7402     1.9510    44.0000   102.0000   193.0000  1443.0000
 0.500 0.030   162.4164     2.3085    47.0000   111.0000   224.0000  1350.0000
 0.500 0.020   181.2202     2.5285    54.0000   126.0000   251.0000  1367.0000
 0.500 0.010   196.3496     2.7857    57.0000   136.0000   271.0000  1892.0000
