Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.500 0.200     5.8796     0.0428     4.0000     5.0000     7.0000    24.0000
 1.500 0.190     6.1676     0.0454     4.0000     6.0000     8.0000    29.0000
 1.500 0.180     6.3946     0.0476     4.0000     6.0000     8.0000    35.0000
 1.500 0.170     6.7850     0.0517     4.0000     6.0000     9.0000    54.0000
 1.500 0.160     7.0210     0.0560     4.0000     6.0000     9.0000    47.0000
 1.500 0.150     7.5446     0.0646     4.0000     7.0000    10.0000    48.0000
 1.500 0.140     8.1700     0.0701     5.0000     7.0000    10.0000    82.0000
 1.500 0.130     8.7398     0.0781     5.0000     8.0000    11.0000    64.0000
 1.500 0.120     9.6406     0.0949     5.0000     8.0000    12.0000   124.0000
 1.500 0.110    10.5786     0.1058     6.0000     9.0000    13.0000   108.0000
 1.500 0.100    12.0256     0.1315     6.0000    10.0000    15.0000   149.0000
 1.500 0.090    14.1664     0.1793     7.0000    11.0000    18.0000   263.0000
 1.500 0.080    17.2412     0.2180     8.0000    13.0000    22.0000   183.0000
 1.500 0.070    22.7722     0.3071     9.0000    16.0000    29.0000   223.0000
 1.500 0.060    29.4460     0.4247    10.0000    20.0000    38.0000   333.0000
 1.500 0.050    41.4298     0.5821    13.0000    28.0000    56.0000   384.0000
 1.500 0.040    56.9766     0.8151    17.0000    39.0000    78.0000   582.0000
 1.500 0.030    83.0064     1.1749    24.0000    57.0000   114.0000   806.0000
 1.500 0.020   121.2742     1.7413    34.0000    83.0000   166.0000  1344.0000
 1.500 0.010   169.7810     2.4071    49.0000   116.0000   236.0000  1682.0000
