Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200    10.9914     0.1426     4.0000     8.0000    14.0000   107.0000
 1.000 0.190    11.5976     0.1486     4.0000     8.0000    16.0000   127.0000
 1.000 0.180    12.6176     0.1629     5.0000     9.0000    17.0000   140.0000
 1.000 0.170    13.8320     0.1780     5.0000    10.0000    19.0000   106.0000
 1.000 0.160    14.8772     0.1919     5.0000    10.0000    20.0000   120.0000
 1.000 0.150    16.2630     0.2115     6.0000    12.0000    22.0000   187.0000
 1.000 0.140    17.7178     0.2336     6.0000    13.0000    24.0000   159.0000
 1.000 0.130    20.0266     0.2565     7.0000    15.0000    28.0000   175.0000
 1.000 0.120    22.3898     0.3035     8.0000    16.0000    30.0000   276.0000
 1.000 0.110    24.9582     0.3339     8.0000    18.0000    34.0000   242.0000
 1.000 0.100    28.9606     0.3920     9.0000    21.0000    40.0000   219.0000
 1.000 0.090    32.3798     0.4335    11.0000    24.0000    43.0000   280.0000
 1.000 0.080    38.6132     0.5285    13.0000    28.0000    52.0000   369.0000
 1.000 0.070    48.3598     0.6750    15.0000    34.0000    66.0000   425.0000
 1.000 0.060    58.7570     0.8298    19.0000    41.0000    78.0000   607.0000
 1.000 0.050    72.3068     0.9779    22.0000    52.0000   101.0000   594.0000
 1.000 0.040    92.0536     1.2767    29.0000    63.0000   127.0000   787.0000
 1.000 0.030   116.3594     1.6243    34.0000    81.0000   161.0000  1203.0000
 1.000 0.020   150.3244     2.0986    46.0000   106.0000   206.0000  1261.0000
 1.000 0.010   185.3382     2.5872    53.0000   132.0000   259.0000  1532.0000
