Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.500 0.200     6.5376     0.0511     4.0000     6.0000     8.0000    55.0000
 1.500 0.190     6.7696     0.0531     4.0000     6.0000     9.0000    51.0000
 1.500 0.180     7.2374     0.0598     4.0000     6.0000     9.0000    73.0000
 1.500 0.170     7.5354     0.0633     5.0000     7.0000    10.0000    61.0000
 1.500 0.160     7.9916     0.0698     5.0000     7.0000    10.0000    56.0000
 1.500 0.150     8.3584     0.0761     5.0000     7.0000    11.0000   103.0000
 1.500 0.140     9.0852     0.0876     5.0000     8.0000    11.0000    76.0000
 1.500 0.130    10.0926     0.1063     5.0000     8.0000    12.0000    98.0000
 1.500 0.120    11.1754     0.1211     6.0000     9.0000    14.0000   141.0000
 1.500 0.110    12.4552     0.1452     6.0000    10.0000    15.0000   119.0000
 1.500 0.100    15.0412     0.1868     7.0000    11.0000    18.0000   175.0000
 1.500 0.090    17.5558     0.2251     8.0000    13.0000    22.0000   155.0000
 1.500 0.080    21.4540     0.2836     8.0000    15.0000    28.0000   204.0000
 1.500 0.070    26.9978     0.3631     9.0000    18.0000    36.0000   211.0000
 1.500 0.060    34.5484     0.4881    11.0000    23.0000    46.0000   317.0000
 1.500 0.050    44.1356     0.6071    14.0000    30.0000    61.0000   331.0000
 1.500 0.040    59.9088     0.8440    18.0000    41.0000    82.0000   595.0000
 1.500 0.030    86.4352     1.2289    24.0000    61.0000   120.0000   785.0000
 1.500 0.020   119.2750     1.6618    34.0000    84.0000   165.0000  1032.0000
 1.500 0.010   168.6848     2.4400    47.0000   114.0000   235.0000  1933.0000
