Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.500 0.200     5.1838     0.0438     3.0000     5.0000     7.0000    37.0000
 1.500 0.190     5.5528     0.0469     3.0000     5.0000     7.0000    35.0000
 1.500 0.180     5.8030     0.0496     3.0000     5.0000     7.0000    42.0000
 1.500 0.170     6.1984     0.0579     3.0000     5.0000     8.0000    74.0000
 1.500 0.160     6.5996     0.0617     4.0000     6.0000     8.0000    54.0000
 1.500 0.150     6.9786     0.0634     4.0000     6.0000     9.0000    41.0000
 1.500 0.140     7.4406     0.0703     4.0000     6.0000    10.0000    48.0000
 1.500 0.130     8.1596     0.0786     4.0000     7.0000    11.0000    50.0000
 1.500 0.120     9.0236     0.0950     4.0000     7.0000    12.0000    98.0000
 1.500 0.110     9.9314     0.1065     5.0000     8.0000    13.0000   101.0000
 1.500 0.100    11.5140     0.1245     6.0000     9.0000    15.0000   104.0000
 1.500 0.090    13.1734     0.1484     6.0000    10.0000    17.0000   123.0000
 1.500 0.080    15.2746     0.1779     7.0000    12.0000    20.0000   124.0000
 1.500 0.070    18.6034     0.2281     8.0000    14.0000    24.0000   202.0000
 1.500 0.060    24.1522     0.3096     9.0000    18.0000    32.0000   201.0000
 1.500 0.050    33.1922     0.4429    11.0000    24.0000    45.0000   300.0000
 1.500 0.040    48.3796     0.6658    15.0000    34.0000    66.0000   477.0000
 1.500 0.030    74.7642     1.0530    22.0000    51.0000   104.0000   687.0000
 1.500 0.020   116.7526     1.6515    33.0000    79.0000   167.0000  1107.0000
 1.500 0.010   172.3814     2.4170    49.0000   122.0000   239.0000  1383.0000
