Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     3.9362     0.0333     2.0000     3.0000     5.0000    22.0000
 2.000 0.190     4.1312     0.0358     2.0000     3.0000     5.0000    22.0000
 2.000 0.180     4.3894     0.0392     2.0000     4.0000     6.0000    30.0000
 2.000 0.170     4.6850     0.0417     3.0000     4.0000     6.0000    29.0000
 2.000 0.160     4.8944     0.0451     3.0000     4.0000     6.0000    27.0000
 2.000 0.150     5.2546     0.0484     3.0000     4.0000     7.0000    27.0000
 2.000 0.140     5.6476     0.0523     3.0000     5.0000     7.0000    35.0000
 2.000 0.130     6.0458     0.0576     3.0000     5.0000     8.0000    41.0000
 2.000 0.120     6.7296     0.0687     3.0000     6.0000     9.0000    51.0000
 2.000 0.110     7.3154     0.0738     4.0000     6.0000    10.0000    62.0000
 2.000 0.100     8.4232     0.0868     4.0000     7.0000    11.0000    78.0000
 2.000 0.090     9.5074     0.1026     4.0000     8.0000    13.0000    83.0000
 2.000 0.080    11.1076     0.1251     5.0000     9.0000    15.0000   102.0000
 2.000 0.070    13.7094     0.1624     6.0000    11.0000    18.0000   150.0000
 2.000 0.060    17.0008     0.2091     7.0000    13.0000    23.0000   215.0000
 2.000 0.050    22.6158     0.2863     8.0000    17.0000    30.0000   240.0000
 2.000 0.040    34.2196     0.4679    12.0000    25.0000    46.0000   495.0000
 2.000 0.030    56.2138     0.7805    18.0000    39.0000    77.0000   614.0000
 2.000 0.020    95.5992     1.3659    28.0000    67.0000   131.0000   882.0000
 2.000 0.010   156.7354     2.2662    44.0000   105.0000   218.0000  1587.0000
