Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200     8.8244     0.0964     4.0000     7.0000    12.0000    88.0000
 1.000 0.190     9.5492     0.1030     5.0000     8.0000    12.0000    67.0000
 1.000 0.180    10.0388     0.1101     5.0000     8.0000    13.0000   123.0000
 1.000 0.170    10.9632     0.1269     5.0000     8.0000    14.0000   120.0000
 1.000 0.160    11.7696     0.1350     5.0000     9.0000    16.0000    95.0000
 1.000 0.150    12.6008     0.1456     6.0000    10.0000    16.0000    99.0000
 1.000 0.140    14.1316     0.1733     6.0000    11.0000    18.0000   139.0000
 1.000 0.130    15.2120     0.1921     6.0000    11.0000    20.0000   281.0000
 1.000 0.120    17.2860     0.2113     7.0000    13.0000    22.0000   135.0000
 1.000 0.110    20.0838     0.2612     8.0000    15.0000    27.0000   212.0000
 1.000 0.100    22.1750     0.2864     9.0000    16.0000    29.0000   180.0000
 1.000 0.090    26.2516     0.3323    10.0000    19.0000    35.0000   177.0000
 1.000 0.080    31.3932     0.4098    11.0000    23.0000    43.0000   373.0000
 1.000 0.070    38.2314     0.5176    13.0000    27.0000    52.0000   406.0000
 1.000 0.060    46.9154     0.6443    15.0000    33.0000    64.0000   418.0000
 1.000 0.050    60.2456     0.8186    20.0000    42.0000    82.0000   466.0000
 1.000 0.040    78.6752     1.0975    25.0000    54.0000   108.0000   636.0000
 1.000 0.030   107.4948     1.5122    32.0000    73.0000   150.0000  1016.0000
 1.000 0.020   146.6600     2.0663    43.0000   104.0000   203.0000  1712.0000
 1.000 0.010   192.1066     2.7667    56.0000   132.0000   262.0000  1629.0000
