Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200    12.8402     0.1088     7.0000    12.0000    17.0000    59.0000
 1.000 0.190    13.4826     0.1196     8.0000    12.0000    17.0000    76.0000
 1.000 0.180    14.1652     0.1219     8.0000    13.0000    18.0000    85.0000
 1.000 0.170    14.8978     0.1349     8.0000    13.0000    19.0000    81.0000
 1.000 0.160    15.6578     0.1477     9.0000    13.0000    20.0000   116.0000
 1.000 0.150    16.6252     0.1548     9.0000    14.0000    22.0000   127.0000
 1.000 0.140    17.5918     0.1717     9.0000    15.0000    23.0000   142.0000
 1.000 0.130    19.0560     0.1900    10.0000    16.0000    25.0000   157.0000
 1.000 0.120    21.0386     0.2115    11.0000    18.0000    27.0000   148.0000
 1.000 0.110    22.6672     0.2397    11.0000    19.0000    30.0000   202.0000
 1.000 0.100    26.0150     0.2968    12.0000    21.0000    33.0000   261.0000
 1.000 0.090    29.9678     0.3436    14.0000    24.0000    39.0000   284.0000
 1.000 0.080    35.3256     0.4270    15.0000    26.0000    46.0000   394.0000
 1.000 0.070    41.8706     0.5196    17.0000    31.0000    55.0000   329.0000
 1.000 0.060    51.9758     0.6386    20.0000    38.0000    71.0000   441.0000
 1.000 0.050    65.0852     0.8411    23.0000    48.0000    90.0000   491.0000
 1.000 0.040    83.9034     1.1324    28.0000    60.0000   114.0000   858.0000
 1.000 0.030   107.4398     1.4861    33.0000    75.0000   146.0000   834.0000
 1.000 0.020   145.2398     2.0497    43.0000   103.0000   200.0000  1315.0000
 1.000 0.010   177.5018     2.4445    53.0000   123.0000   249.0000  1279.0000
