Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.500 0.200     5.3830     0.0522     3.0000     4.0000     7.0000    38.0000
 1.500 0.190     5.5832     0.0532     3.0000     5.0000     7.0000    36.0000
 1.500 0.180     6.0148     0.0587     3.0000     5.0000     8.0000    39.0000
 1.500 0.170     6.4418     0.0651     3.0000     5.0000     8.0000    50.0000
 1.500 0.160     6.8982     0.0701     3.0000     6.0000     9.0000    52.0000
 1.500 0.150     7.4038     0.0758     4.0000     6.0000    10.0000    51.0000
 1.500 0.140     8.0564     0.0857     4.0000     6.0000    10.0000    77.0000
 1.500 0.130     8.7736     0.0929     4.0000     7.0000    12.0000    54.0000
 1.500 0.120     9.6630     0.1040     4.0000     8.0000    13.0000    97.0000
 1.500 0.110    10.9584     0.1242     5.0000     9.0000    14.0000    72.0000
 1.500 0.100    12.1374     0.1366     5.0000    10.0000    16.0000    92.0000
 1.500 0.090    14.4372     0.1668     6.0000    11.0000    19.0000   117.0000
 1.500 0.080    16.7560     0.2117     7.0000    13.0000    22.0000   141.0000
 1.500 0.070    20.8538     0.2643     8.0000    16.0000    27.0000   178.0000
 1.500 0.060    26.1674     0.3295    10.0000    19.0000    36.0000   214.0000
 1.500 0.050    34.2328     0.4541    12.0000    25.0000    46.0000   439.0000
 1.500 0.040    49.6870     0.6742    16.0000    35.0000    67.0000   397.0000
 1.500 0.030    74.3522     1.0358    22.0000    52.0000   101.0000   661.0000
 1.500 0.020   113.8892     1.6057    32.0000    80.0000   157.0000  1093.0000
 1.500 0.010   166.5622     2.3233    47.0000   117.0000   232.0000  1517.0000
