Shift TestRadius  ARL  Std  Q1  Med  Q3  Max min
 2.000 0.200     4.0436     0.0319     3.0000     4.0000     5.0000    44.0000     0.0000
 2.000 0.180     4.4762     0.0391     3.0000     4.0000     5.0000    48.0000     0.0000
 2.000 0.160     5.1806     0.0565     3.0000     4.0000     6.0000    54.0000     0.0000
 2.000 0.140     6.0666     0.0785     3.0000     5.0000     7.0000    95.0000     0.0000
 2.000 0.120     7.8400     0.1122     4.0000     6.0000     9.0000    98.0000     0.0000
 2.000 0.100    11.7726     0.1940     4.0000     7.0000    13.0000   193.0000     0.0000
 2.000 0.080    19.9660     0.3326     6.0000    11.0000    26.0000   253.0000     0.0000
 2.000 0.060    33.7460     0.5254     8.0000    20.0000    46.0000   319.0000     0.0000
 2.000 0.040    64.6668     0.9479    16.0000    44.0000    90.0000   540.0000     0.0000
 2.000 0.020   125.5622     1.8059    35.0000    86.0000   176.0000  1059.0000     0.0000
 1.800 0.200     4.5662     0.0349     3.0000     4.0000     6.0000    35.0000     0.0000
 1.800 0.180     5.0090     0.0449     3.0000     4.0000     6.0000    63.0000     0.0000
 1.800 0.160     5.7594     0.0576     3.0000     5.0000     7.0000    64.0000     0.0000
 1.800 0.140     6.7082     0.0822     4.0000     5.0000     8.0000    85.0000     0.0000
 1.800 0.120     8.5734     0.1187     4.0000     6.0000    10.0000   112.0000     0.0000
 1.800 0.100    12.7074     0.1934     5.0000     8.0000    15.0000   144.0000     0.0000
 1.800 0.080    20.8508     0.3323     6.0000    12.0000    27.0000   236.0000     0.0000
 1.800 0.060    36.1974     0.5509     9.0000    22.0000    50.0000   362.0000     0.0000
 1.800 0.040    67.7136     0.9859    17.0000    46.0000    96.0000   582.0000     0.0000
 1.800 0.020   127.5554     1.8313    38.0000    89.0000   176.0000  1123.0000     0.0000
 1.600 0.200     5.3156     0.0405     3.0000     5.0000     7.0000    37.0000     0.0000
 1.600 0.180     5.8622     0.0526     4.0000     5.0000     7.0000    65.0000     0.0000
 1.600 0.160     6.6766     0.0683     4.0000     6.0000     8.0000    79.0000     0.0000
 1.600 0.140     7.8174     0.0923     4.0000     6.0000     9.0000    89.0000     0.0000
 1.600 0.120     9.7918     0.1300     5.0000     7.0000    11.0000   125.0000     0.0000
 1.600 0.100    13.9888     0.2033     6.0000     9.0000    17.0000   170.0000     0.0000
 1.600 0.080    22.4080     0.3443     7.0000    13.0000    29.0000   313.0000     0.0000
 1.600 0.060    37.7850     0.5628    10.0000    24.0000    52.0000   358.0000     0.0000
 1.600 0.040    68.9694     0.9919    18.0000    47.0000    94.0000   538.0000     0.0000
 1.600 0.020   132.3840     1.8923    37.0000    92.0000   183.0000  1335.0000     0.0000
 1.400 0.200     6.3670     0.0499     4.0000     6.0000     8.0000    40.0000     0.0000
 1.400 0.180     6.9358     0.0576     4.0000     6.0000     9.0000    52.0000     0.0000
 1.400 0.160     7.9488     0.0792     5.0000     7.0000    10.0000    81.0000     0.0000
 1.400 0.140     9.3242     0.1008     5.0000     8.0000    11.0000    89.0000     0.0000
 1.400 0.120    11.4368     0.1378     6.0000     9.0000    14.0000   163.0000     0.0000
 1.400 0.100    16.3832     0.2348     7.0000    11.0000    20.0000   232.0000     0.0000
 1.400 0.080    25.1556     0.3661     8.0000    16.0000    32.0000   253.0000     0.0000
 1.400 0.060    41.7500     0.6245    12.0000    27.0000    57.0000   491.0000     0.0000
 1.400 0.040    73.1572     1.0522    20.0000    50.0000   102.0000   583.0000     0.0000
 1.400 0.020   134.0082     1.9432    38.0000    90.0000   184.0000  1651.0000     0.0000
 1.200 0.200     7.7336     0.0628     5.0000     7.0000    10.0000    52.0000     0.0000
 1.200 0.180     8.5362     0.0779     5.0000     7.0000    11.0000    81.0000     0.0000
 1.200 0.160     9.6248     0.0907     6.0000     8.0000    12.0000   102.0000     0.0000
 1.200 0.140    11.3636     0.1274     6.0000     9.0000    14.0000   171.0000     0.0000
 1.200 0.120    13.8400     0.1678     7.0000    11.0000    17.0000   127.0000     0.0000
 1.200 0.100    18.9224     0.2551     8.0000    14.0000    23.0000   175.0000     0.0000
 1.200 0.080    28.8124     0.3960    10.0000    20.0000    38.0000   316.0000     0.0000
 1.200 0.060    45.4478     0.6542    14.0000    30.0000    62.0000   464.0000     0.0000
 1.200 0.040    81.3512     1.1691    23.0000    56.0000   111.0000   959.0000     0.0000
 1.200 0.020   142.7086     2.0362    41.0000    97.0000   198.0000  1392.0000     0.0000
 1.000 0.200    10.0976     0.0826     6.0000     9.0000    13.0000    59.0000     0.0000
