Shift TestRadius  ARL  Std  Q1  Med  Q3  Max min
 2.000 0.200     3.8692     0.0322     2.0000     3.0000     5.0000    33.0000     0.0000
 2.000 0.180     4.3028     0.0365     3.0000     4.0000     5.0000    36.0000     0.0000
 2.000 0.160     4.8484     0.0454     3.0000     4.0000     6.0000    57.0000     0.0000
 2.000 0.140     5.5990     0.0588     3.0000     5.0000     7.0000    60.0000     0.0000
 2.000 0.120     6.8520     0.0760     3.0000     5.0000     9.0000    69.0000     0.0000
 2.000 0.100     9.0530     0.1242     4.0000     7.0000    11.0000   145.0000     0.0000
 2.000 0.080    14.2978     0.2214     5.0000     9.0000    18.0000   195.0000     0.0000
 2.000 0.060    26.3836     0.4137     7.0000    16.0000    35.0000   373.0000     0.0000
 2.000 0.040    56.9216     0.8682    14.0000    37.0000    79.0000   632.0000     0.0000
 2.000 0.020   124.8838     1.8238    34.0000    86.0000   172.0000  1312.0000     0.0000
 1.800 0.200     4.2428     0.0353     3.0000     4.0000     5.0000    34.0000     0.0000
 1.800 0.180     4.8134     0.0426     3.0000     4.0000     6.0000    48.0000     0.0000
 1.800 0.160     5.3828     0.0524     3.0000     4.0000     7.0000    63.0000     0.0000
 1.800 0.140     6.1674     0.0646     3.0000     5.0000     8.0000    60.0000     0.0000
 1.800 0.120     7.6056     0.0872     4.0000     6.0000     9.0000    75.0000     0.0000
 1.800 0.100     9.9120     0.1361     4.0000     7.0000    12.0000   162.0000     0.0000
 1.800 0.080    15.4458     0.2374     6.0000    10.0000    19.0000   182.0000     0.0000
 1.800 0.060    29.6250     0.4457     8.0000    18.0000    40.0000   265.0000     0.0000
 1.800 0.040    60.5964     0.9052    15.0000    40.0000    84.0000   559.0000     0.0000
 1.800 0.020   125.1904     1.8383    34.0000    85.0000   172.0000  1437.0000     0.0000
 1.600 0.200     4.8536     0.0419     3.0000     4.0000     6.0000    32.0000     0.0000
 1.600 0.180     5.3848     0.0490     3.0000     5.0000     7.0000    46.0000     0.0000
 1.600 0.160     6.0736     0.0567     3.0000     5.0000     8.0000    46.0000     0.0000
 1.600 0.140     7.1328     0.0746     4.0000     6.0000     9.0000    64.0000     0.0000
 1.600 0.120     8.5840     0.0965     4.0000     7.0000    11.0000    75.0000     0.0000
 1.600 0.100    11.3454     0.1480     5.0000     8.0000    14.0000   135.0000     0.0000
 1.600 0.080    16.7700     0.2351     6.0000    12.0000    21.0000   182.0000     0.0000
 1.600 0.060    31.1880     0.4800     9.0000    20.0000    41.0000   383.0000     0.0000
 1.600 0.040    63.0274     0.8950    16.0000    42.0000    90.0000   532.0000     0.0000
 1.600 0.020   127.6090     1.8548    35.0000    88.0000   177.0000  1144.0000     0.0000
 1.400 0.200     5.5714     0.0510     3.0000     5.0000     7.0000    55.0000     0.0000
 1.400 0.180     6.1194     0.0575     3.0000     5.0000     8.0000    52.0000     0.0000
 1.400 0.160     7.0008     0.0711     4.0000     6.0000     9.0000    79.0000     0.0000
 1.400 0.140     8.0698     0.0825     4.0000     7.0000    10.0000    68.0000     0.0000
 1.400 0.120     9.9250     0.1146     5.0000     8.0000    13.0000   108.0000     0.0000
 1.400 0.100    13.3008     0.1800     6.0000    10.0000    17.0000   173.0000     0.0000
 1.400 0.080    19.0928     0.2737     7.0000    13.0000    24.0000   209.0000     0.0000
 1.400 0.060    34.8876     0.5324    10.0000    22.0000    47.0000   409.0000     0.0000
 1.400 0.040    66.2632     0.9523    18.0000    44.0000    92.0000   565.0000     0.0000
 1.400 0.020   130.6900     1.8144    37.0000    91.0000   184.0000  1314.0000     0.0000
 1.200 0.200     6.5948     0.0576     4.0000     6.0000     8.0000    34.0000     0.0000
 1.200 0.180     7.2686     0.0691     4.0000     6.0000     9.0000    65.0000     0.0000
 1.200 0.160     8.4198     0.0893     4.0000     7.0000    11.0000   124.0000     0.0000
 1.200 0.140     9.8482     0.1049     5.0000     8.0000    13.0000    97.0000     0.0000
