Shift TestRadius  ARL  Std  Q1  Med  Q3  Max min
 2.000 0.200     4.1968     0.0288     3.0000     4.0000     5.0000    15.0000     0.0000
 2.000 0.180     4.5828     0.0326     3.0000     4.0000     6.0000    18.0000     0.0000
 2.000 0.160     5.0606     0.0381     3.0000     5.0000     6.0000    28.0000     0.0000
 2.000 0.140     5.6536     0.0433     3.0000     5.0000     7.0000    27.0000     0.0000
 2.000 0.120     6.6976     0.0559     4.0000     6.0000     9.0000    48.0000     0.0000
 2.000 0.100     8.0556     0.0750     5.0000     7.0000    10.0000    64.0000     0.0000
 2.000 0.080    10.7202     0.1170     5.0000     9.0000    13.0000   123.0000     0.0000
 2.000 0.060    17.8666     0.2389     7.0000    13.0000    23.0000   172.0000     0.0000
 2.000 0.040    38.8614     0.5561    12.0000    26.0000    53.0000   380.0000     0.0000
 2.000 0.020    97.7766     1.3781    29.0000    68.0000   134.0000   803.0000     0.0000
 1.800 0.200     4.8166     0.0332     3.0000     4.0000     6.0000    21.0000     0.0000
 1.800 0.180     5.3270     0.0385     3.0000     5.0000     7.0000    25.0000     0.0000
 1.800 0.160     5.8558     0.0448     4.0000     5.0000     7.0000    28.0000     0.0000
 1.800 0.140     6.6720     0.0535     4.0000     6.0000     8.0000    35.0000     0.0000
 1.800 0.120     7.6766     0.0655     4.0000     7.0000    10.0000    46.0000     0.0000
 1.800 0.100     9.3754     0.0877     5.0000     8.0000    12.0000    70.0000     0.0000
 1.800 0.080    12.3882     0.1367     6.0000    10.0000    16.0000   127.0000     0.0000
 1.800 0.060    20.1392     0.2687     8.0000    14.0000    26.0000   235.0000     0.0000
 1.800 0.040    40.6050     0.5796    13.0000    28.0000    55.0000   750.0000     0.0000
 1.800 0.020   103.0904     1.4889    29.0000    71.0000   141.0000  1009.0000     0.0000
 1.600 0.200     5.7224     0.0403     4.0000     5.0000     7.0000    24.0000     0.0000
 1.600 0.180     6.3610     0.0466     4.0000     6.0000     8.0000    27.0000     0.0000
 1.600 0.160     6.8482     0.0511     4.0000     6.0000     9.0000    34.0000     0.0000
 1.600 0.140     7.7966     0.0621     5.0000     7.0000    10.0000    44.0000     0.0000
 1.600 0.120     9.1604     0.0791     5.0000     8.0000    12.0000    80.0000     0.0000
 1.600 0.100    10.7896     0.0993     6.0000     9.0000    14.0000    64.0000     0.0000
 1.600 0.080    14.4168     0.1586     7.0000    12.0000    18.0000   166.0000     0.0000
 1.600 0.060    22.7492     0.2776    10.0000    17.0000    30.0000   213.0000     0.0000
 1.600 0.040    45.5202     0.6148    15.0000    32.0000    62.0000   525.0000     0.0000
