Shift TestRadius  ARL  Std  Q1  Med  Q3  Max min
 2.000 0.200     6.4154     0.0832     2.0000     4.0000     8.0000    61.0000     0.0000
 2.000 0.180     7.4278     0.0965     3.0000     5.0000    10.0000    55.0000     0.0000
 2.000 0.160     8.5828     0.1098     3.0000     6.0000    12.0000    64.0000     0.0000
 2.000 0.140    10.0380     0.1276     3.0000     7.0000    14.0000    85.0000     0.0000
 2.000 0.120    12.5830     0.1623     4.0000     9.0000    18.0000   127.0000     0.0000
 2.000 0.100    16.0248     0.2011     5.0000    12.0000    23.0000   137.0000     0.0000
 2.000 0.080    22.3002     0.2833     8.0000    17.0000    31.0000   170.0000     0.0000
 2.000 0.060    33.9558     0.4475    11.0000    26.0000    46.0000   310.0000     0.0000
 2.000 0.040    64.2168     0.8698    20.0000    47.0000    89.0000   461.0000     0.0000
 2.000 0.020   132.5310     1.8748    38.0000    91.0000   184.0000  1290.0000     0.0000
 1.800 0.200     6.9770     0.0900     3.0000     5.0000     9.0000    59.0000     0.0000
 1.800 0.180     7.9356     0.1057     3.0000     5.0000    10.0000    69.0000     0.0000
 1.800 0.160     9.1876     0.1192     3.0000     7.0000    12.0000    73.0000     0.0000
 1.800 0.140    10.8802     0.1377     4.0000     8.0000    15.0000    91.0000     0.0000
 1.800 0.120    13.5452     0.1738     5.0000    10.0000    19.0000   111.0000     0.0000
 1.800 0.100    17.8924     0.2318     6.0000    13.0000    24.0000   197.0000     0.0000
 1.800 0.080    24.5262     0.3297     8.0000    18.0000    34.0000   250.0000     0.0000
 1.800 0.060    37.2256     0.4969    13.0000    27.0000    50.0000   350.0000     0.0000
 1.800 0.040    68.4068     0.9656    21.0000    49.0000    94.0000  1000.0000     0.0000
 1.800 0.020   129.9494     1.8691    37.0000    87.0000   178.0000   919.0000     0.0000
 1.600 0.200     7.6514     0.0987     3.0000     5.0000    10.0000    58.0000     0.0000
 1.600 0.180     8.7932     0.1166     3.0000     6.0000    12.0000    86.0000     0.0000
 1.600 0.160    10.0938     0.1334     4.0000     7.0000    14.0000    87.0000     0.0000
 1.600 0.140    12.1692     0.1587     4.0000     9.0000    17.0000   113.0000     0.0000
 1.600 0.120    15.2120     0.2018     5.0000    11.0000    21.0000   152.0000     0.0000
 1.600 0.100    20.1598     0.2644     7.0000    15.0000    28.0000   167.0000     0.0000
 1.600 0.080    27.0920     0.3549     9.0000    20.0000    37.0000   319.0000     0.0000
 1.600 0.060    41.7300     0.5626    13.0000    31.0000    56.0000   347.0000     0.0000
 1.600 0.040    74.5594     1.0434    23.0000    53.0000   102.0000   834.0000     0.0000
 1.600 0.020   136.8028     1.9189    40.0000    95.0000   191.0000  1453.0000     0.0000
 1.400 0.200     8.4962     0.1114     3.0000     6.0000    11.0000    71.0000     0.0000
 1.400 0.180     9.7640     0.1283     3.0000     7.0000    13.0000    73.0000     0.0000
 1.400 0.160    11.2614     0.1504     4.0000     8.0000    15.0000   112.0000     0.0000
 1.400 0.140    14.0218     0.1826     5.0000    10.0000    19.0000   137.0000     0.0000
 1.400 0.120    17.2942     0.2301     6.0000    13.0000    24.0000   154.0000     0.0000
 1.400 0.100    22.8164     0.3148     8.0000    16.0000    30.0000   205.0000     0.0000
 1.400 0.080    30.7912     0.4244     9.0000    22.0000    42.0000   253.0000     0.0000
 1.400 0.060    47.0724     0.6496    15.0000    33.0000    63.0000   463.0000     0.0000
 1.400 0.040    80.6474     1.1263    24.0000    57.0000   112.0000   622.0000     0.0000
 1.400 0.020   143.3110     2.0269    43.0000    98.0000   198.0000  1109.0000     0.0000
 1.200 0.200     9.8942     0.1281     4.0000     7.0000    13.0000    86.0000     0.0000
 1.200 0.180    11.4596     0.1498     4.0000     8.0000    15.0000   100.0000     0.0000
 1.200 0.160    13.3338     0.1781     4.0000     9.0000    18.0000   133.0000     0.0000
 1.200 0.140    16.5508     0.2260     5.0000    12.0000    22.0000   168.0000     0.0000
