Shift TestRadius  ARL  Std  Q1  Med  Q3  Max min
 2.000 0.200     4.7796     0.0522     2.0000     4.0000     6.0000    41.0000     0.0000
 2.000 0.180     5.4020     0.0614     2.0000     4.0000     7.0000    42.0000     0.0000
 2.000 0.160     6.2912     0.0726     3.0000     5.0000     8.0000    64.0000     0.0000
 2.000 0.140     7.3894     0.0876     3.0000     6.0000    10.0000    65.0000     0.0000
 2.000 0.120     9.0146     0.1047     4.0000     7.0000    12.0000    67.0000     0.0000
 2.000 0.100    11.4876     0.1380     5.0000     9.0000    16.0000   144.0000     0.0000
 2.000 0.080    15.7618     0.1960     6.0000    12.0000    21.0000   161.0000     0.0000
 2.000 0.060    24.9076     0.3269     9.0000    19.0000    33.0000   257.0000     0.0000
 2.000 0.040    51.6022     0.7153    16.0000    37.0000    70.0000   465.0000     0.0000
 2.000 0.020   116.8246     1.6392    35.0000    82.0000   162.0000   905.0000     0.0000
 1.800 0.200     5.2686     0.0583     2.0000     4.0000     7.0000    34.0000     0.0000
 1.800 0.180     5.8298     0.0674     3.0000     4.0000     7.0000    53.0000     0.0000
 1.800 0.160     6.9182     0.0808     3.0000     5.0000     9.0000    68.0000     0.0000
 1.800 0.140     8.1620     0.0933     3.0000     6.0000    11.0000    60.0000     0.0000
 1.800 0.120     9.8524     0.1176     4.0000     7.0000    13.0000    85.0000     0.0000
 1.800 0.100    12.7144     0.1618     5.0000     9.0000    17.0000   148.0000     0.0000
 1.800 0.080    17.9306     0.2296     7.0000    14.0000    24.0000   284.0000     0.0000
 1.800 0.060    27.4230     0.3552     9.0000    21.0000    37.0000   235.0000     0.0000
 1.800 0.040    54.0766     0.7417    18.0000    38.0000    74.0000   497.0000     0.0000
 1.800 0.020   118.0532     1.7089    34.0000    81.0000   164.0000  1273.0000     0.0000
 1.600 0.200     5.8648     0.0649     3.0000     4.0000     8.0000    37.0000     0.0000
 1.600 0.180     6.6274     0.0739     3.0000     5.0000     9.0000    45.0000     0.0000
 1.600 0.160     7.6564     0.0907     3.0000     6.0000    10.0000    91.0000     0.0000
 1.600 0.140     9.0052     0.1113     4.0000     7.0000    12.0000    96.0000     0.0000
 1.600 0.120    11.5610     0.1402     4.0000     9.0000    16.0000    88.0000     0.0000
 1.600 0.100    14.5944     0.1837     6.0000    11.0000    20.0000   129.0000     0.0000
 1.600 0.080    20.0576     0.2554     7.0000    15.0000    27.0000   191.0000     0.0000
 1.600 0.060    31.5762     0.4206    11.0000    23.0000    43.0000   318.0000     0.0000
 1.600 0.040    60.5932     0.8446    19.0000    42.0000    81.0000   520.0000     0.0000
 1.600 0.020   126.4122     1.7538    36.0000    89.0000   177.0000  1211.0000     0.0000
 1.400 0.200     6.6550     0.0789     3.0000     5.0000     9.0000    75.0000     0.0000
 1.400 0.180     7.6226     0.0914     3.0000     6.0000    10.0000    71.0000     0.0000
 1.400 0.160     8.7974     0.1053     4.0000     7.0000    11.0000    89.0000     0.0000
 1.400 0.140    10.5676     0.1312     4.0000     8.0000    14.0000   114.0000     0.0000
 1.400 0.120    13.0434     0.1619     5.0000    10.0000    17.0000   169.0000     0.0000
 1.400 0.100    17.1530     0.2239     6.0000    13.0000    23.0000   186.0000     0.0000
 1.400 0.080    23.9296     0.3193     8.0000    18.0000    32.0000   302.0000     0.0000
 1.400 0.060    36.9050     0.5213    12.0000    26.0000    49.0000   433.0000     0.0000
 1.400 0.040    68.8942     1.0067    20.0000    47.0000    95.0000   859.0000     0.0000
 1.400 0.020   128.9986     1.7969    38.0000    91.0000   179.0000   906.0000     0.0000
 1.200 0.200     7.8800     0.0919     3.0000     6.0000    10.0000    67.0000     0.0000
 1.200 0.180     8.9044     0.1063     4.0000     7.0000    12.0000    68.0000     0.0000
 1.200 0.160    10.5720     0.1315     4.0000     8.0000    14.0000    84.0000     0.0000
 1.200 0.140    12.5126     0.1566     5.0000     9.0000    17.0000   100.0000     0.0000
 1.200 0.120    15.8302     0.2045     6.0000    11.0000    21.0000   158.0000     0.0000
 1.200 0.100    20.3094     0.2648     7.0000    15.0000    27.0000   184.0000     0.0000
 1.200 0.080    28.1874     0.3800    10.0000    21.0000    38.0000   337.0000     0.0000
 1.200 0.060    43.0282     0.5923    14.0000    30.0000    58.0000   588.0000     0.0000
 1.200 0.040    76.8706     1.0640    24.0000    55.0000   104.0000   609.0000     0.0000
 1.200 0.020   138.6066     1.9892    41.0000    96.0000   191.0000  1278.0000     0.0000
 1.000 0.200     9.7358     0.1169     4.0000     7.0000    13.0000    81.0000     0.0000
 1.000 0.180    11.2996     0.1421     5.0000     8.0000    15.0000   104.0000     0.0000
 1.000 0.160    12.9250     0.1586     5.0000    10.0000    17.0000   115.0000     0.0000
 1.000 0.140    15.6516     0.1976     6.0000    12.0000    21.0000   143.0000     0.0000
 1.000 0.120    19.7968     0.2562     7.0000    14.0000    26.0000   158.0000     0.0000
 1.000 0.100    25.6624     0.3499     9.0000    18.0000    34.0000   351.0000     0.0000
 1.000 0.080    35.3076     0.4750    12.0000    25.0000    48.0000   315.0000     0.0000
 1.000 0.060    52.7892     0.7256    17.0000    37.0000    71.0000   402.0000     0.0000
 1.000 0.040    86.5630     1.1746    26.0000    60.0000   122.0000   606.0000     0.0000
 1.000 0.020   153.4640     2.1452    43.0000   108.0000   215.0000  1215.0000     0.0000
 0.800 0.200    12.7358     0.1561     5.0000    10.0000    16.0000   100.0000     0.0000
 0.800 0.180    14.7480     0.1840     6.0000    11.0000    19.0000   163.0000     0.0000
 0.800 0.160    17.4542     0.2227     7.0000    13.0000    23.0000   178.0000     0.0000
 0.800 0.140    20.7222     0.2692     8.0000    15.0000    27.0000   182.0000     0.0000
 0.800 0.120    25.7680     0.3441     9.0000    18.0000    34.0000   224.0000     0.0000
 0.800 0.100    33.4078     0.4518    11.0000    23.0000    45.0000   394.0000     0.0000
 0.800 0.080    45.1350     0.6296    15.0000    32.0000    61.0000   722.0000     0.0000
 0.800 0.060    68.8024     0.9465    21.0000    48.0000    94.0000   628.0000     0.0000
 0.800 0.040   105.0696     1.4593    32.0000    74.0000   144.0000   836.0000     0.0000
 0.800 0.020   158.8504     2.2314    47.0000   110.0000   220.0000  1288.0000     0.0000
 0.600 0.200    18.6378     0.2346     8.0000    14.0000    24.0000   168.0000     0.0000
 0.600 0.180    21.3298     0.2721     9.0000    16.0000    28.0000   219.0000     0.0000
 0.600 0.160    24.9912     0.3240    10.0000    19.0000    33.0000   340.0000     0.0000
 0.600 0.140    30.0054     0.3999    11.0000    22.0000    39.0000   319.0000     0.0000
 0.600 0.120    37.2130     0.4854    13.0000    27.0000    50.0000   280.0000     0.0000
 0.600 0.100    46.5536     0.6507    15.0000    33.0000    63.0000   668.0000     0.0000
 0.600 0.080    63.3994     0.8722    20.0000    44.0000    86.0000   533.0000     0.0000
 0.600 0.060    89.1314     1.2194    28.0000    64.0000   124.0000   654.0000     0.0000
 0.600 0.040   126.4004     1.8032    37.0000    87.0000   173.0000  1156.0000     0.0000
 0.600 0.020   172.0912     2.4509    49.0000   117.0000   236.0000  1356.0000     0.0000
 0.400 0.200    34.1118     0.4330    14.0000    25.0000    45.0000   452.0000     0.0000
 0.400 0.180    38.4280     0.4935    15.0000    29.0000    50.0000   434.0000     0.0000
 0.400 0.160    44.3462     0.5733    16.0000    33.0000    59.0000   363.0000     0.0000
 0.400 0.140    51.3946     0.6638    18.0000    38.0000    70.0000   489.0000     0.0000
 0.400 0.120    62.7402     0.8725    22.0000    44.0000    82.0000   857.0000     0.0000
 0.400 0.100    78.5766     1.0742    26.0000    57.0000   106.0000   795.0000     0.0000
 0.400 0.080    98.0766     1.3353    30.0000    68.0000   135.0000   913.0000     0.0000
 0.400 0.060   123.1826     1.6828    39.0000    88.0000   171.0000  1175.0000     0.0000
 0.400 0.040   160.0930     2.2079    48.0000   113.0000   219.0000  1201.0000     0.0000
 0.400 0.020   185.6486     2.6764    51.0000   125.0000   258.0000  1584.0000     0.0000
 0.200 0.200   107.1834     1.4884    34.0000    74.0000   145.0000  1099.0000     0.0000
 0.200 0.180   115.4006     1.5904    36.0000    82.0000   157.0000   946.0000     0.0000
 0.200 0.160   126.0380     1.7231    40.0000    90.0000   172.0000  1239.0000     0.0000
 0.200 0.140   134.9118     1.9098    39.0000    93.0000   187.0000  1370.0000     0.0000
 0.200 0.120   149.5328     2.0380    47.0000   105.0000   207.0000  1203.0000     0.0000
 0.200 0.100   157.8366     2.2226    46.0000   108.0000   220.0000  1319.0000     0.0000
 0.200 0.080   169.2716     2.4161    48.0000   116.0000   230.0000  1807.0000     0.0000
 0.200 0.060   181.8892     2.5628    53.0000   126.0000   252.0000  1786.0000     0.0000
 0.200 0.040   193.8260     2.7836    55.0000   134.0000   266.0000  1572.0000     0.0000
 0.200 0.020   202.8484     2.9290    58.0000   141.0000   276.0000  1909.0000     0.0000
