Shift TestRadius  ARL  Std  Q1  Med  Q3  Max min
 2.000 0.200     3.9630     0.0293     2.0000     4.0000     5.0000    16.0000     0.0000
 2.000 0.180     4.3664     0.0339     3.0000     4.0000     6.0000    21.0000     0.0000
 2.000 0.160     4.8724     0.0388     3.0000     4.0000     6.0000    25.0000     0.0000
 2.000 0.140     5.4250     0.0437     3.0000     5.0000     7.0000    28.0000     0.0000
 2.000 0.120     6.4888     0.0562     4.0000     6.0000     8.0000    38.0000     0.0000
 2.000 0.100     7.8342     0.0712     4.0000     7.0000    10.0000    50.0000     0.0000
 2.000 0.080    10.3558     0.1039     5.0000     9.0000    14.0000    87.0000     0.0000
 2.000 0.060    15.5582     0.1808     7.0000    12.0000    20.0000   144.0000     0.0000
 2.000 0.040    31.2498     0.4132    11.0000    22.0000    42.0000   322.0000     0.0000
 2.000 0.020    89.9248     1.2478    26.0000    62.0000   124.0000   807.0000     0.0000
 1.800 0.200     4.5432     0.0362     3.0000     4.0000     6.0000    25.0000     0.0000
 1.800 0.180     4.9852     0.0391     3.0000     4.0000     6.0000    28.0000     0.0000
 1.800 0.160     5.6124     0.0465     3.0000     5.0000     7.0000    24.0000     0.0000
 1.800 0.140     6.2374     0.0517     4.0000     5.0000     8.0000    34.0000     0.0000
 1.800 0.120     7.4682     0.0674     4.0000     7.0000    10.0000    44.0000     0.0000
 1.800 0.100     9.0730     0.0859     5.0000     8.0000    12.0000    85.0000     0.0000
 1.800 0.080    12.0560     0.1215     6.0000    10.0000    16.0000    78.0000     0.0000
 1.800 0.060    17.9012     0.2160     8.0000    14.0000    23.0000   163.0000     0.0000
 1.800 0.040    35.0926     0.4810    12.0000    25.0000    47.0000   541.0000     0.0000
 1.800 0.020    99.4678     1.4134    30.0000    69.0000   135.0000   890.0000     0.0000
 1.600 0.200     5.3258     0.0418     3.0000     5.0000     7.0000    24.0000     0.0000
 1.600 0.180     5.7788     0.0472     3.0000     5.0000     7.0000    30.0000     0.0000
 1.600 0.160     6.4586     0.0541     4.0000     6.0000     8.0000    31.0000     0.0000
 1.600 0.140     7.4626     0.0668     4.0000     7.0000    10.0000    55.0000     0.0000
 1.600 0.120     8.6776     0.0791     5.0000     8.0000    11.0000    56.0000     0.0000
 1.600 0.100    10.8600     0.1072     6.0000     9.0000    14.0000    74.0000     0.0000
 1.600 0.080    14.3998     0.1579     7.0000    12.0000    19.0000   156.0000     0.0000
 1.600 0.060    21.0370     0.2441     9.0000    17.0000    27.0000   260.0000     0.0000
 1.600 0.040    40.2286     0.5365    14.0000    28.0000    55.0000   402.0000     0.0000
 1.600 0.020   100.6542     1.3739    31.0000    71.0000   140.0000   785.0000     0.0000
 1.400 0.200     6.2720     0.0513     4.0000     6.0000     8.0000    31.0000     0.0000
 1.400 0.180     6.9358     0.0581     4.0000     6.0000     9.0000    34.0000     0.0000
 1.400 0.160     7.9538     0.0711     4.0000     7.0000    10.0000    59.0000     0.0000
 1.400 0.140     8.9866     0.0806     5.0000     8.0000    12.0000    44.0000     0.0000
 1.400 0.120    10.5582     0.1040     5.0000     9.0000    14.0000    93.0000     0.0000
 1.400 0.100    13.1398     0.1301     7.0000    11.0000    17.0000    69.0000     0.0000
 1.400 0.080    17.0634     0.1838     8.0000    14.0000    22.0000   119.0000     0.0000
 1.400 0.060    25.3808     0.2927    11.0000    20.0000    34.0000   215.0000     0.0000
 1.400 0.040    47.5554     0.6160    17.0000    35.0000    64.0000   394.0000     0.0000
 1.400 0.020   114.4902     1.6212    33.0000    79.0000   157.0000   958.0000     0.0000
 1.200 0.200     7.7426     0.0662     4.0000     7.0000    10.0000    44.0000     0.0000
 1.200 0.180     8.7264     0.0773     5.0000     8.0000    11.0000    56.0000     0.0000
 1.200 0.160     9.9204     0.0896     5.0000     9.0000    13.0000    70.0000     0.0000
 1.200 0.140    11.3762     0.1068     6.0000    10.0000    15.0000    75.0000     0.0000
 1.200 0.120    13.5338     0.1331     7.0000    11.0000    18.0000    76.0000     0.0000
 1.200 0.100    16.8012     0.1769     8.0000    14.0000    22.0000   128.0000     0.0000
 1.200 0.080    22.5914     0.2585    10.0000    18.0000    30.0000   186.0000     0.0000
 1.200 0.060    32.7370     0.3958    13.0000    25.0000    43.0000   255.0000     0.0000
 1.200 0.040    58.2978     0.7681    20.0000    42.0000    79.0000   543.0000     0.0000
 1.200 0.020   124.1034     1.7288    37.0000    88.0000   170.0000   990.0000     0.0000
 1.000 0.200    10.5160     0.0971     6.0000     9.0000    14.0000    67.0000     0.0000
 1.000 0.180    11.8026     0.1126     6.0000    10.0000    15.0000    74.0000     0.0000
 1.000 0.160    13.2844     0.1297     7.0000    11.0000    17.0000    73.0000     0.0000
 1.000 0.140    15.1672     0.1526     8.0000    13.0000    20.0000   113.0000     0.0000
 1.000 0.120    18.1476     0.1919     9.0000    15.0000    24.0000   130.0000     0.0000
 1.000 0.100    23.1340     0.2584    10.0000    18.0000    30.0000   207.0000     0.0000
 1.000 0.080    30.4720     0.3633    13.0000    23.0000    40.0000   264.0000     0.0000
 1.000 0.060    45.1162     0.5582    18.0000    34.0000    61.0000   513.0000     0.0000
 1.000 0.040    74.4670     1.0084    25.0000    53.0000   102.0000   826.0000     0.0000
 1.000 0.020   139.6088     1.8651    44.0000   100.0000   197.0000  1238.0000     0.0000
 0.800 0.200    15.4008     0.1513     8.0000    13.0000    20.0000   112.0000     0.0000
 0.800 0.180    17.4204     0.1769     9.0000    14.0000    23.0000   106.0000     0.0000
 0.800 0.160    19.6720     0.2036     9.0000    16.0000    26.0000   141.0000     0.0000
 0.800 0.140    23.2584     0.2599    11.0000    19.0000    31.0000   167.0000     0.0000
 0.800 0.120    27.3072     0.3106    12.0000    21.0000    36.0000   234.0000     0.0000
 0.800 0.100    33.9472     0.3901    15.0000    27.0000    44.0000   236.0000     0.0000
 0.800 0.080    46.0754     0.5645    18.0000    35.0000    62.0000   352.0000     0.0000
 0.800 0.060    65.0628     0.8644    23.0000    47.0000    87.0000   604.0000     0.0000
 0.800 0.040   100.6772     1.3265    34.0000    73.0000   139.0000   846.0000     0.0000
 0.800 0.020   162.3690     2.2608    49.0000   114.0000   223.0000  1567.0000     0.0000
 0.600 0.200    26.8056     0.2924    12.0000    22.0000    36.0000   213.0000     0.0000
 0.600 0.180    30.1970     0.3448    13.0000    24.0000    40.0000   356.0000     0.0000
 0.600 0.160    35.0968     0.4230    15.0000    27.0000    46.0000   377.0000     0.0000
 0.600 0.140    41.2548     0.5058    17.0000    31.0000    54.0000   324.0000     0.0000
 0.600 0.120    48.8110     0.6088    19.0000    37.0000    65.0000   585.0000     0.0000
 0.600 0.100    60.5516     0.7700    23.0000    46.0000    81.0000   748.0000     0.0000
 0.600 0.080    77.8830     1.0314    27.0000    55.0000   106.0000   606.0000     0.0000
 0.600 0.060   103.3700     1.3860    34.0000    75.0000   141.0000   939.0000     0.0000
 0.600 0.040   144.2082     2.1072    43.0000    99.0000   194.0000  1584.0000     0.0000
 0.600 0.020   183.6046     2.5525    55.0000   127.0000   252.0000  1475.0000     0.0000
 0.400 0.200    64.7892     0.8668    24.0000    47.0000    86.0000   745.0000     0.0000
 0.400 0.180    73.7110     0.9777    25.0000    53.0000   101.0000   681.0000     0.0000
 0.400 0.160    82.5176     1.1397    28.0000    58.0000   108.0000   756.0000     0.0000
 0.400 0.140    92.0862     1.2320    31.0000    66.0000   126.0000   755.0000     0.0000
 0.400 0.120   104.7640     1.4275    34.0000    75.0000   144.0000   986.0000     0.0000
 0.400 0.100   121.2202     1.6400    39.0000    87.0000   167.0000  1231.0000     0.0000
 0.400 0.080   138.0466     1.8950    43.0000    96.0000   190.0000  1368.0000     0.0000
 0.400 0.060   162.7922     2.2481    49.0000   115.0000   227.0000  1497.0000     0.0000
 0.400 0.040   182.9478     2.5785    54.0000   127.0000   253.0000  1582.0000     0.0000
 0.400 0.020   193.9730     2.7148    56.0000   136.0000   272.0000  1595.0000     0.0000
 0.200 0.200   159.3936     2.2149    47.0000   113.0000   220.0000  1346.0000     0.0000
 0.200 0.180   162.8076     2.3642    48.0000   110.0000   225.0000  1899.0000     0.0000
 0.200 0.160   168.8554     2.4169    48.0000   116.0000   234.0000  1316.0000     0.0000
 0.200 0.140   175.6822     2.4899    51.0000   123.0000   244.0000  1748.0000     0.0000
 0.200 0.120   182.6540     2.5697    52.0000   124.0000   252.0000  1467.0000     0.0000
 0.200 0.100   186.2560     2.5973    54.0000   131.0000   262.0000  1492.0000     0.0000
 0.200 0.080   196.1626     2.8407    53.0000   135.0000   273.0000  1655.0000     0.0000
 0.200 0.060   195.3012     2.8073    56.0000   136.0000   267.0000  1826.0000     0.0000
