Shift TestRadius  ARL  Std  Q1  Med  Q3  Max min
 2.000 0.200     4.3152     0.0423     2.0000     3.0000     5.0000    39.0000     0.0000
 2.000 0.180     4.8792     0.0501     2.0000     4.0000     6.0000    42.0000     0.0000
 2.000 0.160     5.4748     0.0564     3.0000     4.0000     7.0000    34.0000     0.0000
 2.000 0.140     6.4586     0.0718     3.0000     5.0000     8.0000    46.0000     0.0000
 2.000 0.120     7.8742     0.0859     3.0000     6.0000    11.0000    51.0000     0.0000
 2.000 0.100    10.0800     0.1212     4.0000     8.0000    13.0000   115.0000     0.0000
 2.000 0.080    14.1700     0.1757     5.0000    11.0000    19.0000    99.0000     0.0000
 2.000 0.060    23.9848     0.3327     8.0000    17.0000    32.0000   348.0000     0.0000
 2.000 0.040    51.4740     0.7591    14.0000    34.0000    71.0000   631.0000     0.0000
 2.000 0.020   113.0256     1.6484    31.0000    76.0000   155.0000   968.0000     0.0000
 1.800 0.200     4.6302     0.0467     2.0000     4.0000     6.0000    37.0000     0.0000
 1.800 0.180     5.2878     0.0554     3.0000     4.0000     7.0000    39.0000     0.0000
 1.800 0.160     5.9868     0.0618     3.0000     5.0000     8.0000    34.0000     0.0000
 1.800 0.140     6.9872     0.0756     3.0000     6.0000     9.0000    54.0000     0.0000
 1.800 0.120     8.5414     0.0963     4.0000     7.0000    11.0000    71.0000     0.0000
 1.800 0.100    11.3596     0.1407     4.0000     9.0000    15.0000   115.0000     0.0000
 1.800 0.080    15.5004     0.2015     6.0000    11.0000    21.0000   150.0000     0.0000
 1.800 0.060    25.7792     0.3541     9.0000    18.0000    35.0000   236.0000     0.0000
 1.800 0.040    53.4446     0.7519    16.0000    37.0000    75.0000   476.0000     0.0000
 1.800 0.020   123.9254     1.7982    34.0000    85.0000   171.0000  1406.0000     0.0000
 1.600 0.200     5.1878     0.0526     3.0000     4.0000     7.0000    37.0000     0.0000
 1.600 0.180     5.8422     0.0614     3.0000     5.0000     8.0000    38.0000     0.0000
 1.600 0.160     6.7850     0.0731     3.0000     5.0000     9.0000    61.0000     0.0000
 1.600 0.140     8.0700     0.0911     4.0000     6.0000    11.0000    82.0000     0.0000
 1.600 0.120     9.8018     0.1154     4.0000     8.0000    13.0000   115.0000     0.0000
 1.600 0.100    12.3716     0.1530     5.0000     9.0000    16.0000   152.0000     0.0000
 1.600 0.080    18.3218     0.2593     7.0000    13.0000    24.0000   294.0000     0.0000
 1.600 0.060    29.2818     0.3954    10.0000    21.0000    40.0000   280.0000     0.0000
 1.600 0.040    60.5302     0.8517    17.0000    41.0000    84.0000   458.0000     0.0000
 1.600 0.020   126.2428     1.7846    36.0000    86.0000   176.0000  1286.0000     0.0000
 1.400 0.200     5.9686     0.0624     3.0000     5.0000     8.0000    44.0000     0.0000
 1.400 0.180     6.8978     0.0775     3.0000     5.0000     9.0000    80.0000     0.0000
 1.400 0.160     7.7638     0.0899     4.0000     6.0000    10.0000    90.0000     0.0000
 1.400 0.140     9.3396     0.1083     4.0000     7.0000    12.0000    87.0000     0.0000
 1.400 0.120    11.4406     0.1346     5.0000     9.0000    15.0000    90.0000     0.0000
 1.400 0.100    14.8474     0.1828     6.0000    11.0000    20.0000   174.0000     0.0000
 1.400 0.080    20.4178     0.2607     8.0000    15.0000    27.0000   164.0000     0.0000
 1.400 0.060    32.6132     0.4492    11.0000    23.0000    44.0000   305.0000     0.0000
 1.400 0.040    63.8674     0.9023    18.0000    44.0000    90.0000   636.0000     0.0000
 1.400 0.020   132.8908     1.8789    37.0000    93.0000   184.0000  1102.0000     0.0000
 1.200 0.200     7.1842     0.0784     3.0000     6.0000     9.0000    64.0000     0.0000
 1.200 0.180     8.0736     0.0876     4.0000     6.0000    10.0000    59.0000     0.0000
 1.200 0.160     9.3512     0.1058     4.0000     7.0000    12.0000    75.0000     0.0000
 1.200 0.140    11.1856     0.1296     5.0000     9.0000    15.0000   113.0000     0.0000
 1.200 0.120    13.7292     0.1677     6.0000    10.0000    18.0000   106.0000     0.0000
 1.200 0.100    17.8434     0.2292     7.0000    13.0000    24.0000   169.0000     0.0000
 1.200 0.080    24.6054     0.3157     9.0000    18.0000    33.0000   238.0000     0.0000
 1.200 0.060    40.3634     0.5482    13.0000    29.0000    55.0000   349.0000     0.0000
