Shift TestRadius  ARL  Std  Q1  Med  Q3  Max min
 2.000 0.200     4.7846     0.0522     2.0000     4.0000     6.0000    36.0000     0.0000
 2.000 0.180     5.3664     0.0605     2.0000     4.0000     7.0000    46.0000     0.0000
 2.000 0.160     6.1124     0.0707     3.0000     5.0000     8.0000    53.0000     0.0000
 2.000 0.140     7.3350     0.0876     3.0000     5.0000    10.0000    78.0000     0.0000
 2.000 0.120     9.1544     0.1136     4.0000     7.0000    12.0000   128.0000     0.0000
 2.000 0.100    11.8534     0.1591     4.0000     9.0000    16.0000   213.0000     0.0000
 2.000 0.080    16.9662     0.2265     6.0000    12.0000    23.0000   160.0000     0.0000
 2.000 0.060    29.4068     0.4214     9.0000    21.0000    39.0000   339.0000     0.0000
 2.000 0.040    61.8300     0.9032    18.0000    42.0000    85.0000   633.0000     0.0000
 2.000 0.020   127.4874     1.8475    35.0000    85.0000   179.0000  1137.0000     0.0000
 1.800 0.200     5.1286     0.0556     2.0000     4.0000     6.0000    35.0000     0.0000
 1.800 0.180     5.8264     0.0669     3.0000     4.0000     7.0000    68.0000     0.0000
 1.800 0.160     6.7608     0.0787     3.0000     5.0000     9.0000    59.0000     0.0000
 1.800 0.140     8.0774     0.0964     3.0000     6.0000    11.0000    78.0000     0.0000
 1.800 0.120    10.0414     0.1275     4.0000     7.0000    13.0000   125.0000     0.0000
 1.800 0.100    13.1430     0.1745     5.0000    10.0000    17.0000   157.0000     0.0000
 1.800 0.080    19.1562     0.2766     7.0000    13.0000    25.0000   206.0000     0.0000
 1.800 0.060    32.6154     0.4599    10.0000    23.0000    45.0000   312.0000     0.0000
 1.800 0.040    64.0652     0.9120    18.0000    44.0000    89.0000   671.0000     0.0000
 1.800 0.020   130.3512     1.8432    37.0000    90.0000   182.0000  1230.0000     0.0000
 1.600 0.200     5.6750     0.0625     3.0000     4.0000     7.0000    45.0000     0.0000
 1.600 0.180     6.3716     0.0740     3.0000     5.0000     8.0000    58.0000     0.0000
 1.600 0.160     7.5484     0.0881     3.0000     6.0000    10.0000    59.0000     0.0000
 1.600 0.140     9.2224     0.1108     4.0000     7.0000    12.0000    77.0000     0.0000
 1.600 0.120    10.9870     0.1341     4.0000     8.0000    15.0000   100.0000     0.0000
 1.600 0.100    14.5690     0.1990     5.0000    11.0000    19.0000   240.0000     0.0000
 1.600 0.080    21.8288     0.3024     7.0000    16.0000    29.0000   275.0000     0.0000
 1.600 0.060    34.2006     0.4682    11.0000    24.0000    46.0000   375.0000     0.0000
 1.600 0.040    67.1812     0.9382    20.0000    47.0000    93.0000   669.0000     0.0000
 1.600 0.020   133.9902     1.8905    37.0000    94.0000   186.0000  1107.0000     0.0000
 1.400 0.200     6.5754     0.0736     3.0000     5.0000     8.0000    54.0000     0.0000
 1.400 0.180     7.4026     0.0872     3.0000     6.0000     9.0000    67.0000     0.0000
 1.400 0.160     8.7084     0.1017     4.0000     7.0000    12.0000    87.0000     0.0000
 1.400 0.140    10.2818     0.1284     4.0000     8.0000    13.0000   103.0000     0.0000
