Shift TestRadius  ARL  Std  Q1  Med  Q3  Max min
 2.000 0.200     5.4426     0.0656     2.0000     4.0000     7.0000    50.0000     0.0000
 2.000 0.180     6.0828     0.0730     3.0000     4.0000     8.0000    48.0000     0.0000
 2.000 0.160     6.9370     0.0837     3.0000     5.0000     9.0000    50.0000     0.0000
 2.000 0.140     8.3998     0.0998     3.0000     6.0000    12.0000    60.0000     0.0000
 2.000 0.120    10.3338     0.1255     4.0000     8.0000    14.0000    82.0000     0.0000
 2.000 0.100    13.1528     0.1615     5.0000    10.0000    18.0000   105.0000     0.0000
 2.000 0.080    18.1206     0.2271     6.0000    14.0000    25.0000   198.0000     0.0000
 2.000 0.060    27.4584     0.3538     9.0000    21.0000    37.0000   278.0000     0.0000
 2.000 0.040    52.9950     0.7305    18.0000    39.0000    72.0000   848.0000     0.0000
 2.000 0.020   119.7852     1.7780    33.0000    82.0000   162.0000  1726.0000     0.0000
 1.800 0.200     5.7862     0.0698     2.0000     4.0000     7.0000    45.0000     0.0000
 1.800 0.180     6.6010     0.0808     3.0000     5.0000     9.0000    56.0000     0.0000
 1.800 0.160     7.4240     0.0901     3.0000     5.0000    10.0000    56.0000     0.0000
 1.800 0.140     9.2336     0.1144     3.0000     7.0000    12.0000   100.0000     0.0000
 1.800 0.120    10.9614     0.1374     4.0000     8.0000    15.0000    91.0000     0.0000
 1.800 0.100    14.4474     0.1801     5.0000    11.0000    20.0000   114.0000     0.0000
 1.800 0.080    19.6880     0.2590     7.0000    15.0000    27.0000   220.0000     0.0000
 1.800 0.060    30.9180     0.4090    10.0000    23.0000    42.0000   335.0000     0.0000
 1.800 0.040    57.8310     0.7985    18.0000    42.0000    78.0000   562.0000     0.0000
 1.800 0.020   119.9684     1.6756    35.0000    84.0000   168.0000  1285.0000     0.0000
 1.600 0.200     6.3776     0.0780     3.0000     5.0000     8.0000    59.0000     0.0000
 1.600 0.180     7.2484     0.0868     3.0000     5.0000    10.0000    67.0000     0.0000
 1.600 0.160     8.6848     0.1031     3.0000     6.0000    12.0000    59.0000     0.0000
 1.600 0.140    10.2482     0.1296     4.0000     8.0000    14.0000    96.0000     0.0000
 1.600 0.120    12.5352     0.1568     5.0000     9.0000    17.0000   104.0000     0.0000
 1.600 0.100    16.0152     0.2064     6.0000    12.0000    21.0000   172.0000     0.0000
 1.600 0.080    22.2316     0.3009     7.0000    16.0000    30.0000   291.0000     0.0000
 1.600 0.060    35.6194     0.4771    12.0000    26.0000    48.0000   361.0000     0.0000
 1.600 0.040    62.5402     0.8817    19.0000    44.0000    86.0000   720.0000     0.0000
 1.600 0.020   128.4724     1.8173    36.0000    90.0000   177.0000  1444.0000     0.0000
 1.400 0.200     7.4108     0.0934     3.0000     5.0000    10.0000   111.0000     0.0000
 1.400 0.180     8.4592     0.1048     3.0000     6.0000    11.0000    76.0000     0.0000
 1.400 0.160     9.6214     0.1194     4.0000     7.0000    13.0000    82.0000     0.0000
 1.400 0.140    11.9200     0.1512     4.0000     9.0000    16.0000   132.0000     0.0000
 1.400 0.120    14.4146     0.1820     5.0000    11.0000    19.0000   125.0000     0.0000
 1.400 0.100    19.2530     0.2492     7.0000    14.0000    26.0000   153.0000     0.0000
 1.400 0.080    25.8110     0.3433     9.0000    19.0000    35.0000   242.0000     0.0000
 1.400 0.060    39.2520     0.5355    13.0000    28.0000    54.0000   344.0000     0.0000
 1.400 0.040    69.4230     0.9758    22.0000    49.0000    93.0000   687.0000     0.0000
 1.400 0.020   133.9264     1.8822    38.0000    92.0000   188.0000  1130.0000     0.0000
 1.200 0.200     8.6478     0.1089     4.0000     6.0000    11.0000    76.0000     0.0000
 1.200 0.180     9.8870     0.1223     4.0000     7.0000    13.0000    85.0000     0.0000
 1.200 0.160    11.6642     0.1563     4.0000     8.0000    15.0000   125.0000     0.0000
 1.200 0.140    13.8568     0.1775     5.0000    10.0000    18.0000   131.0000     0.0000
 1.200 0.120    17.3420     0.2336     6.0000    12.0000    23.0000   195.0000     0.0000
 1.200 0.100    22.4104     0.3006     8.0000    16.0000    30.0000   206.0000     0.0000
 1.200 0.080    31.0420     0.4125    10.0000    23.0000    42.0000   258.0000     0.0000
 1.200 0.060    47.9452     0.6920    15.0000    33.0000    64.0000   488.0000     0.0000
 1.200 0.040    80.1130     1.1354    24.0000    57.0000   110.0000   781.0000     0.0000
 1.200 0.020   140.2152     2.0160    39.0000    94.0000   194.0000  1567.0000     0.0000
 1.000 0.200    10.3034     0.1248     4.0000     8.0000    13.0000    99.0000     0.0000
 1.000 0.180    12.2482     0.1567     5.0000     9.0000    16.0000   114.0000     0.0000
 1.000 0.160    14.6342     0.1870     6.0000    11.0000    19.0000   127.0000     0.0000
 1.000 0.140    17.2384     0.2314     6.0000    12.0000    23.0000   140.0000     0.0000
 1.000 0.120    20.9182     0.2738     7.0000    15.0000    28.0000   182.0000     0.0000
 1.000 0.100    27.8610     0.3857     9.0000    20.0000    37.0000   292.0000     0.0000
 1.000 0.080    38.3936     0.5309    12.0000    27.0000    52.0000   412.0000     0.0000
 1.000 0.060    58.5722     0.8213    18.0000    41.0000    80.0000   468.0000     0.0000
 1.000 0.040    92.3332     1.2767    28.0000    65.0000   126.0000   762.0000     0.0000
 1.000 0.020   149.9242     2.0679    46.0000   105.0000   207.0000  1195.0000     0.0000
 0.800 0.200    13.5582     0.1698     5.0000    10.0000    18.0000   105.0000     0.0000
 0.800 0.180    15.6136     0.2024     6.0000    11.0000    20.0000   248.0000     0.0000
 0.800 0.160    18.7218     0.2413     7.0000    14.0000    25.0000   174.0000     0.0000
 0.800 0.140    21.9046     0.2939     8.0000    15.0000    29.0000   180.0000     0.0000
 0.800 0.120    27.3662     0.3727    10.0000    20.0000    36.0000   265.0000     0.0000
 0.800 0.100    36.3318     0.5006    11.0000    25.0000    50.0000   290.0000     0.0000
 0.800 0.080    49.6472     0.6810    16.0000    35.0000    67.0000   437.0000     0.0000
 0.800 0.060    69.8130     0.9775    22.0000    48.0000    94.0000   658.0000     0.0000
 0.800 0.040   105.1802     1.4884    31.0000    73.0000   143.0000   886.0000     0.0000
 0.800 0.020   161.7906     2.2769    47.0000   112.0000   225.0000  1522.0000     0.0000
 0.600 0.200    19.7236     0.2460     8.0000    15.0000    26.0000   187.0000     0.0000
 0.600 0.180    22.5606     0.2844     9.0000    17.0000    29.0000   210.0000     0.0000
 0.600 0.160    27.0312     0.3555    10.0000    20.0000    36.0000   356.0000     0.0000
 0.600 0.140    31.7238     0.4216    11.0000    23.0000    42.0000   289.0000     0.0000
 0.600 0.120    38.3186     0.5088    13.0000    27.0000    52.0000   293.0000     0.0000
 0.600 0.100    48.6270     0.6662    16.0000    34.0000    65.0000   450.0000     0.0000
 0.600 0.080    65.3280     0.9009    21.0000    46.0000    89.0000   655.0000     0.0000
 0.600 0.060    91.6158     1.2723    27.0000    64.0000   125.0000   726.0000     0.0000
 0.600 0.040   126.0732     1.7904    36.0000    87.0000   173.0000   998.0000     0.0000
 0.600 0.020   173.8758     2.4813    49.0000   119.0000   240.0000  1359.0000     0.0000
 0.400 0.200    34.2302     0.4369    14.0000    26.0000    45.0000   381.0000     0.0000
 0.400 0.180    38.9848     0.4946    15.0000    28.0000    52.0000   284.0000     0.0000
 0.400 0.160    44.9526     0.5896    17.0000    32.0000    60.0000   436.0000     0.0000
 0.400 0.140    51.3834     0.6679    18.0000    38.0000    69.0000   461.0000     0.0000
 0.400 0.120    63.0946     0.8573    22.0000    45.0000    84.0000   676.0000     0.0000
 0.400 0.100    77.0678     1.0354    26.0000    56.0000   106.0000   635.0000     0.0000
 0.400 0.080    94.9644     1.2968    31.0000    68.0000   130.0000   775.0000     0.0000
