Amp  ARL  Std  Q1  Med  Q3  Max
  0.50   204.6960     4.6870    59.0000   134.0000   280.0000  1984.0000
  1.00   203.4730     4.5903    54.0000   139.0000   286.0000  2000.0000
  1.50   201.0330     4.6274    56.0000   138.0000   278.0000  1642.0000
  2.00   177.3440     3.8009    53.0000   125.0000   251.0000  1311.0000
  2.50   149.9885     3.3247    49.0000   107.0000   197.0000  1346.0000
  3.00   118.0195     2.5394    41.0000    84.0000   161.0000  1135.0000
  3.50    94.5455     2.1196    35.0000    68.0000   120.0000  1173.0000
  4.00    80.2755     1.9217    29.0000    53.0000   100.0000   996.0000
  4.50    65.0205     1.4627    25.0000    45.0000    83.0000   637.0000
  5.00    56.5320     1.2945    22.0000    38.0000    71.0000   492.0000
  5.50    48.6615     1.1679    19.0000    33.0000    59.0000   561.0000
  6.00    46.3190     1.2069    17.0000    30.0000    53.0000   687.0000
  6.50    42.0820     1.0893    15.0000    27.0000    48.0000   537.0000
  7.00    37.3635     1.1551    13.0000    23.0000    41.0000  1012.0000
  7.50    33.3955     0.8712    12.0000    21.0000    38.0000   452.0000
  8.00    32.4660     0.9097    11.0000    20.0000    37.0000   535.0000
  8.50    30.3700     0.8935    11.0000    18.0000    32.0000   482.0000
  9.00    25.8630     0.7033    10.0000    16.0000    29.0000   311.0000
  9.50    25.4480     0.7791     9.0000    15.0000    28.0000   485.0000
 10.00    23.9730     0.8283     8.0000    14.0000    26.0000   720.0000
