Amp  ARL  Std  Q1  Med  Q3  Max
  0.50   199.6910     4.5526    56.0000   137.0000   277.0000  1598.0000
  1.00   199.9285     4.4164    59.0000   140.0000   279.0000  1462.0000
  1.50   190.1010     4.1974    54.0000   129.0000   266.0000  2000.0000
  2.00   173.7865     3.8722    50.0000   120.0000   242.0000  1255.0000
  2.50   146.4235     3.0852    48.0000   106.0000   199.0000   960.0000
  3.00   120.7305     2.7444    41.0000    89.0000   158.0000  1483.0000
  3.50    96.4740     2.0280    36.0000    69.0000   127.0000   756.0000
  4.00    80.1465     1.7578    31.0000    58.0000   103.0000   725.0000
  4.50    66.4335     1.6216    25.0000    46.0000    81.0000   763.0000
  5.00    58.0310     1.3484    22.0000    40.0000    74.0000   910.0000
  5.50    51.0290     1.3242    19.0000    34.0000    61.0000   803.0000
  6.00    44.1445     1.1348    17.0000    30.0000    52.0000   566.0000
  6.50    40.7250     1.0823    15.0000    27.0000    47.0000   605.0000
  7.00    38.5420     1.0508    14.0000    25.0000    44.0000   608.0000
  7.50    32.0030     0.8075    13.0000    21.0000    37.0000   371.0000
  8.00    32.5105     0.8346    12.0000    20.0000    38.0000   379.0000
  8.50    29.2810     0.8105    11.0000    19.0000    33.0000   360.0000
  9.00    27.6595     0.7863    10.0000    17.0000    31.0000   391.0000
  9.50    26.0505     0.8409     9.0000    15.0000    27.0000   451.0000
 10.00    23.8870     0.6682     9.0000    14.0000    26.0000   330.0000
