Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.250     7.4145     0.1326     3.0000     6.0000     9.0000    66.0000
 0.950 0.250     7.6400     0.1292     4.0000     6.0000    10.0000    52.0000
 0.900 0.250     8.2365     0.1449     4.0000     6.0000    10.0000    53.0000
 0.850 0.250     9.0605     0.1590     4.0000     7.0000    12.0000    77.0000
 0.800 0.250     9.8795     0.1812     4.0000     8.0000    13.0000   107.0000
 0.750 0.250    11.1585     0.2076     5.0000     8.0000    15.0000   104.0000
 0.700 0.250    12.4485     0.2192     6.0000    10.0000    16.0000    87.0000
 0.650 0.250    13.6500     0.2406     6.0000    11.0000    18.0000    92.0000
 0.600 0.250    15.7880     0.2903     7.0000    12.0000    21.0000   150.0000
 0.550 0.250    17.6280     0.3368     8.0000    14.0000    23.0000   174.0000
 0.500 0.250    20.9330     0.3734     9.0000    17.0000    27.0000   199.0000
 0.450 0.250    24.5895     0.4878    10.0000    18.0000    32.0000   254.0000
 0.400 0.250    30.3720     0.6096    12.0000    22.0000    40.0000   238.0000
 0.350 0.250    40.6915     0.8126    16.0000    30.0000    54.0000   348.0000
 0.300 0.250    54.2550     1.1031    20.0000    40.0000    73.0000   397.0000
 0.250 0.250    76.9290     1.6858    25.0000    53.0000   103.0000   671.0000
 0.200 0.250   109.1665     2.3705    33.0000    77.0000   150.0000   812.0000
 0.150 0.250   143.5080     3.1510    43.0000   101.0000   198.0000  1126.0000
 0.100 0.250   171.0975     3.8299    50.0000   114.0000   237.0000  1378.0000
 0.050 0.250   194.3495     4.2882    57.0000   135.0000   268.0000  1312.0000
