Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.050    56.1830     1.1546    21.0000    41.0000    74.0000   540.0000
 0.950 0.050    62.4375     1.2354    24.0000    46.0000    84.0000   362.0000
 0.900 0.050    70.0210     1.4461    26.0000    52.0000    93.0000   666.0000
 0.850 0.050    71.3750     1.3980    28.0000    54.0000    97.0000   426.0000
 0.800 0.050    80.0960     1.6051    29.0000    59.0000   109.0000   513.0000
 0.750 0.050    89.3140     1.8156    32.0000    64.0000   122.0000   655.0000
 0.700 0.050    99.0460     2.0919    35.0000    70.0000   132.0000   806.0000
 0.650 0.050   107.6785     2.2883    36.0000    77.0000   145.0000   726.0000
 0.600 0.050   125.3870     2.6199    43.0000    89.0000   167.0000   787.0000
 0.550 0.050   137.1075     3.0062    43.0000    97.0000   185.0000  1546.0000
 0.500 0.050   149.0860     3.2950    45.0000   102.0000   206.0000  1216.0000
 0.450 0.050   167.6220     3.6877    49.0000   119.0000   228.0000  1216.0000
 0.400 0.050   182.0900     4.1266    52.0000   124.0000   246.0000  1444.0000
 0.350 0.050   183.8730     3.9921    53.0000   130.0000   261.0000  1429.0000
 0.300 0.050   188.1475     4.2470    54.0000   129.0000   260.0000  1785.0000
 0.250 0.050   182.8835     4.1633    52.0000   125.0000   251.0000  1332.0000
 0.200 0.050   191.0500     4.4210    51.0000   129.0000   269.0000  1681.0000
 0.150 0.050   199.0625     4.4954    57.0000   136.0000   274.0000  1663.0000
 0.100 0.050   200.8795     4.4700    59.0000   137.0000   289.0000  1455.0000
 0.050 0.050   199.3595     4.4259    53.0000   135.0000   277.0000  1400.0000
