Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.050    63.7145     1.4083    19.0000    44.0000    88.0000   481.0000
 0.950 0.050    67.5850     1.4783    21.0000    47.0000    92.0000   409.0000
 0.900 0.050    70.2860     1.5433    22.0000    49.0000    94.0000   568.0000
 0.850 0.050    77.4900     1.6926    25.0000    54.0000   107.0000   766.0000
 0.800 0.050    81.3275     1.8064    25.0000    58.0000   110.0000   725.0000
 0.750 0.050    86.3170     1.9181    26.0000    59.0000   117.0000   635.0000
 0.700 0.050    95.1025     2.1189    30.0000    64.0000   131.0000  1013.0000
 0.650 0.050   101.9230     2.3028    29.0000    68.0000   140.0000   718.0000
 0.600 0.050   114.2265     2.4592    34.0000    80.0000   160.0000   790.0000
 0.550 0.050   120.3285     2.6024    37.0000    83.0000   171.0000  1257.0000
 0.500 0.050   123.6770     2.6321    39.0000    85.0000   172.0000   809.0000
 0.450 0.050   142.5160     3.1103    43.0000    99.0000   196.0000   902.0000
 0.400 0.050   150.5075     3.3326    47.0000   104.0000   209.0000  1292.0000
 0.350 0.050   157.3155     3.5198    46.0000   107.0000   223.0000  1093.0000
 0.300 0.050   172.4570     3.7294    54.0000   122.0000   240.0000  1301.0000
 0.250 0.050   180.7075     4.1347    49.0000   125.0000   252.0000  1430.0000
 0.200 0.050   194.5700     4.3419    53.0000   140.0000   270.0000  2000.0000
 0.150 0.050   196.7690     4.4340    56.0000   136.0000   274.0000  1976.0000
 0.100 0.050   192.8475     4.3560    55.0000   132.0000   270.0000  1886.0000
 0.050 0.050   187.6630     4.2710    51.0000   127.0000   271.0000  1841.0000
