Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.150    13.4330     0.2112     7.0000    11.0000    17.0000   103.0000
 0.950 0.150    14.2165     0.2220     7.0000    12.0000    19.0000    82.0000
 0.900 0.150    16.0865     0.2630     8.0000    13.0000    21.0000   110.0000
 0.850 0.150    17.8175     0.2936     9.0000    15.0000    23.0000   108.0000
 0.800 0.150    19.2865     0.3138    10.0000    16.0000    25.0000   117.0000
 0.750 0.150    22.1335     0.3730    10.0000    18.0000    29.0000   141.0000
 0.700 0.150    25.0410     0.4284    11.0000    21.0000    33.0000   174.0000
 0.650 0.150    28.9860     0.5310    13.0000    23.0000    38.0000   213.0000
 0.600 0.150    33.5405     0.6335    14.0000    27.0000    44.0000   302.0000
 0.550 0.150    41.5545     0.8119    17.0000    32.0000    55.0000   336.0000
 0.500 0.150    50.8960     1.0086    20.0000    39.0000    67.0000   487.0000
 0.450 0.150    61.2130     1.2437    23.0000    46.0000    82.0000   554.0000
 0.400 0.150    81.7055     1.7058    28.0000    59.0000   111.0000   567.0000
 0.350 0.150    99.8010     2.1865    32.0000    70.0000   137.0000   943.0000
 0.300 0.150   126.8920     2.9339    39.0000    88.0000   173.0000  1476.0000
 0.250 0.150   149.7575     3.4102    43.0000   105.0000   200.0000  1116.0000
 0.200 0.150   168.5580     4.1037    45.0000   109.0000   225.0000  1591.0000
 0.150 0.150   185.6500     3.9759    55.0000   131.0000   258.0000  1361.0000
 0.100 0.150   200.6025     4.3932    56.0000   142.0000   275.0000  1291.0000
 0.050 0.150   188.2300     4.1240    52.0000   130.0000   261.0000  1153.0000
