Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.250    10.0555     0.1214     6.0000     9.0000    13.0000    38.0000
 0.950 0.250    11.2750     0.1360     7.0000    10.0000    15.0000    54.0000
 0.900 0.250    12.3010     0.1553     7.0000    11.0000    16.0000    59.0000
 0.850 0.250    13.8325     0.1764     8.0000    13.0000    18.0000    64.0000
 0.800 0.250    15.5235     0.2141     9.0000    14.0000    20.0000    71.0000
 0.750 0.250    17.2155     0.2403    10.0000    16.0000    22.0000   102.0000
 0.700 0.250    19.2590     0.2763    10.0000    17.0000    25.0000    81.0000
 0.650 0.250    23.1140     0.3497    12.0000    20.0000    30.0000   136.0000
 0.600 0.250    26.3405     0.4254    13.0000    22.0000    35.0000   224.0000
 0.550 0.250    32.5240     0.5751    15.0000    26.0000    42.0000   210.0000
 0.500 0.250    40.1390     0.7145    18.0000    32.0000    54.0000   323.0000
 0.450 0.250    52.6600     1.0096    22.0000    40.0000    70.0000   402.0000
 0.400 0.250    67.1265     1.3833    24.0000    49.0000    89.0000   492.0000
 0.350 0.250    85.9225     1.8121    30.0000    62.0000   116.0000   585.0000
 0.300 0.250   107.7070     2.4141    35.0000    76.0000   144.0000  1040.0000
 0.250 0.250   129.3215     2.7622    39.0000    93.0000   184.0000   897.0000
 0.200 0.250   154.2910     3.3315    49.0000   109.0000   213.0000  1040.0000
 0.150 0.250   178.1830     3.9158    49.0000   122.0000   247.0000  1078.0000
 0.100 0.250   188.5645     4.1710    51.0000   131.0000   264.0000  1249.0000
 0.050 0.250   197.7200     4.4658    55.0000   133.0000   277.0000  1656.0000
