Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.050    52.9065     1.0726    19.0000    39.0000    73.0000   518.0000
 0.950 0.050    57.0915     1.1403    21.0000    43.0000    77.0000   417.0000
 0.900 0.050    63.5460     1.2883    24.0000    48.0000    84.0000   459.0000
 0.850 0.050    69.1525     1.4294    25.0000    49.0000    94.0000   585.0000
 0.800 0.050    74.6990     1.5879    25.0000    54.0000   102.0000   600.0000
 0.750 0.050    81.5695     1.7735    27.0000    57.0000   110.0000   841.0000
 0.700 0.050    91.4780     1.9737    30.0000    66.0000   122.0000   971.0000
 0.650 0.050   102.9810     2.1991    34.0000    73.0000   144.0000  1106.0000
 0.600 0.050   115.9650     2.5075    38.0000    81.0000   157.0000   932.0000
 0.550 0.050   124.5270     2.6403    41.0000    90.0000   166.0000   778.0000
 0.500 0.050   138.9075     2.9887    44.0000   100.0000   192.0000  1049.0000
 0.450 0.050   153.4135     3.3763    43.0000   106.0000   214.0000  1080.0000
 0.400 0.050   163.3845     3.6469    47.0000   111.0000   225.0000  1043.0000
 0.350 0.050   176.1195     3.8338    53.0000   124.0000   245.0000  1278.0000
 0.300 0.050   184.0805     4.2175    54.0000   127.0000   248.0000  1508.0000
 0.250 0.050   192.6285     4.3885    56.0000   132.0000   261.0000  1396.0000
 0.200 0.050   199.4095     4.5344    58.0000   136.0000   276.0000  1720.0000
 0.150 0.050   191.1560     4.2823    55.0000   134.0000   267.0000  1887.0000
 0.100 0.050   198.6430     4.2820    61.0000   143.0000   277.0000  1434.0000
 0.050 0.050   201.2780     4.5233    57.0000   137.0000   282.0000  1560.0000
