Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.100    26.9065     0.4622    13.0000    22.0000    34.0000   188.0000
 0.950 0.100    30.3295     0.5191    14.0000    25.0000    40.0000   203.0000
 0.900 0.100    33.2100     0.5779    16.0000    27.0000    43.0000   258.0000
 0.850 0.100    36.1310     0.6166    17.0000    29.0000    48.0000   199.0000
 0.800 0.100    42.7245     0.7715    18.0000    34.0000    57.0000   319.0000
 0.750 0.100    46.6815     0.8718    20.0000    36.0000    61.0000   338.0000
 0.700 0.100    55.0140     1.0643    23.0000    43.0000    71.0000   589.0000
 0.650 0.100    62.4940     1.1828    24.0000    47.0000    88.0000   414.0000
 0.600 0.100    74.1215     1.4673    29.0000    56.0000    99.0000   621.0000
 0.550 0.100    86.4395     1.7635    31.0000    63.0000   116.0000   640.0000
 0.500 0.100   101.4170     2.0983    35.0000    72.0000   139.0000   652.0000
 0.450 0.100   125.2925     2.6201    42.0000    90.0000   174.0000   875.0000
 0.400 0.100   136.8195     2.8920    43.0000   100.0000   192.0000   931.0000
 0.350 0.100   157.3340     3.4614    49.0000   112.0000   215.0000  1692.0000
 0.300 0.100   176.7080     3.8960    53.0000   119.0000   247.0000  1327.0000
 0.250 0.100   179.1405     3.9100    49.0000   126.0000   251.0000  1087.0000
 0.200 0.100   185.3650     4.1529    52.0000   127.0000   267.0000  1211.0000
 0.150 0.100   194.9615     4.3910    55.0000   136.0000   269.0000  1756.0000
 0.100 0.100   202.8485     4.5886    57.0000   137.0000   287.0000  1653.0000
 0.050 0.100   209.6060     4.5355    63.0000   150.0000   296.0000  2000.0000
