Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200     9.6830     0.1814     4.0000     7.0000    12.0000    71.0000
 0.950 0.200    10.1555     0.1854     5.0000     8.0000    13.0000    87.0000
 0.900 0.200    11.2865     0.2188     5.0000     8.0000    15.0000   122.0000
 0.850 0.200    12.1110     0.2268     5.0000     9.0000    16.0000   105.0000
 0.800 0.200    12.8810     0.2673     5.0000    10.0000    17.0000   247.0000
 0.750 0.200    14.0020     0.2667     6.0000    11.0000    18.0000   117.0000
 0.700 0.200    15.8485     0.3021     7.0000    12.0000    20.0000   112.0000
 0.650 0.200    17.7970     0.3368     7.0000    13.0000    23.0000   127.0000
 0.600 0.200    20.0260     0.3663     8.0000    16.0000    27.0000   125.0000
 0.550 0.200    22.9635     0.4345     9.0000    18.0000    31.0000   148.0000
 0.500 0.200    27.7025     0.5517    11.0000    21.0000    36.0000   226.0000
 0.450 0.200    32.8865     0.6399    13.0000    25.0000    43.0000   323.0000
 0.400 0.200    40.3425     0.8419    15.0000    29.0000    53.0000   339.0000
 0.350 0.200    53.3005     1.1080    19.0000    38.0000    70.0000   353.0000
 0.300 0.200    67.9360     1.4184    23.0000    50.0000    92.0000   499.0000
 0.250 0.200    96.4735     2.0905    31.0000    68.0000   135.0000   724.0000
 0.200 0.200   125.2485     2.8502    37.0000    86.0000   170.0000  1034.0000
 0.150 0.200   158.3155     3.4681    47.0000   111.0000   220.0000  1517.0000
 0.100 0.200   176.7150     4.0951    50.0000   121.0000   243.0000  1402.0000
 0.050 0.200   191.5030     4.2804    51.0000   130.0000   276.0000  1379.0000
