Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.250    11.1550     0.1501     7.0000    10.0000    15.0000    62.0000
 0.950 0.250    12.5375     0.1706     7.0000    11.0000    16.0000    67.0000
 0.900 0.250    13.6015     0.1918     8.0000    12.0000    18.0000    67.0000
 0.850 0.250    15.0325     0.2036     8.0000    14.0000    20.0000    89.0000
 0.800 0.250    17.0225     0.2498     9.0000    15.0000    22.0000   156.0000
 0.750 0.250    18.9845     0.2778    10.0000    16.0000    25.0000   125.0000
 0.700 0.250    22.4510     0.3668    12.0000    19.0000    29.0000   243.0000
 0.650 0.250    25.7750     0.4358    12.0000    22.0000    34.0000   261.0000
 0.600 0.250    29.9610     0.5413    13.0000    24.0000    39.0000   212.0000
 0.550 0.250    37.6465     0.7067    16.0000    29.0000    50.0000   317.0000
 0.500 0.250    46.1485     0.8523    19.0000    36.0000    62.0000   302.0000
 0.450 0.250    57.9800     1.2056    21.0000    43.0000    76.0000   641.0000
 0.400 0.250    72.2135     1.4819    25.0000    53.0000    97.0000   453.0000
 0.350 0.250    88.3020     1.8006    29.0000    64.0000   123.0000   607.0000
 0.300 0.250   112.2295     2.3999    38.0000    82.0000   151.0000   802.0000
 0.250 0.250   137.6065     3.0447    44.0000    96.0000   186.0000  1120.0000
 0.200 0.250   155.6385     3.4749    48.0000   106.0000   210.0000  1230.0000
 0.150 0.250   181.5920     4.0655    51.0000   128.0000   248.0000  1500.0000
 0.100 0.250   194.6180     4.4029    54.0000   134.0000   268.0000  1882.0000
 0.050 0.250   204.3705     4.5810    59.0000   143.0000   282.0000  1953.0000
