Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.100    25.8815     0.4369    13.0000    22.0000    33.0000   193.0000
 0.950 0.100    27.7855     0.4611    13.0000    23.0000    37.0000   179.0000
 0.900 0.100    31.0315     0.5291    15.0000    25.0000    40.0000   234.0000
 0.850 0.100    35.6865     0.5955    17.0000    29.0000    48.0000   243.0000
 0.800 0.100    38.8635     0.6423    18.0000    32.0000    52.0000   219.0000
 0.750 0.100    44.5475     0.7391    21.0000    37.0000    60.0000   259.0000
 0.700 0.100    51.7065     0.9978    22.0000    40.0000    67.0000   368.0000
 0.650 0.100    59.5985     1.1452    24.0000    45.0000    79.0000   523.0000
 0.600 0.100    72.6455     1.4294    29.0000    56.0000    99.0000   581.0000
 0.550 0.100    82.3950     1.7149    29.0000    61.0000   110.0000   732.0000
 0.500 0.100   101.6100     2.0759    36.0000    76.0000   139.0000   851.0000
 0.450 0.100   113.9595     2.4754    36.0000    82.0000   154.0000  1105.0000
 0.400 0.100   140.2715     3.1448    43.0000    98.0000   192.0000  1220.0000
 0.350 0.100   158.4965     3.4287    48.0000   111.0000   224.0000  1064.0000
 0.300 0.100   171.6995     3.8790    50.0000   120.0000   231.0000  1338.0000
 0.250 0.100   185.7240     4.2065    53.0000   128.0000   255.0000  1765.0000
 0.200 0.100   196.0720     4.5792    53.0000   131.0000   265.0000  1723.0000
 0.150 0.100   197.0950     4.5977    54.0000   129.0000   277.0000  1582.0000
 0.100 0.100   195.6205     4.2751    55.0000   137.0000   282.0000  1421.0000
 0.050 0.100   206.4545     4.6636    58.0000   140.0000   288.0000  1787.0000
