Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.150     7.5114     0.0809     4.0000     6.0000    10.0000    96.0000
 1.900 0.150     8.0836     0.0860     4.0000     6.0000    10.0000    73.0000
 1.800 0.150     8.5608     0.0910     4.0000     7.0000    11.0000    75.0000
 1.700 0.150     9.1024     0.0985     4.0000     7.0000    12.0000    84.0000
 1.600 0.150     9.5840     0.1026     5.0000     8.0000    12.0000    89.0000
 1.500 0.150    10.7878     0.1179     5.0000     9.0000    14.0000    79.0000
 1.400 0.150    11.6662     0.1267     6.0000     9.0000    15.0000    85.0000
 1.300 0.150    13.0190     0.1482     6.0000    10.0000    17.0000   170.0000
 1.200 0.150    14.2228     0.1624     7.0000    11.0000    19.0000   134.0000
 1.100 0.150    16.4230     0.1890     8.0000    13.0000    21.0000   129.0000
 1.000 0.150    19.3604     0.2262     9.0000    15.0000    25.0000   279.0000
 0.900 0.150    22.2032     0.2522    10.0000    17.0000    30.0000   169.0000
 0.800 0.150    27.1736     0.3200    12.0000    21.0000    36.0000   200.0000
 0.700 0.150    33.5676     0.4114    14.0000    25.0000    44.0000   273.0000
 0.600 0.150    43.2986     0.5467    18.0000    32.0000    57.0000   369.0000
 0.500 0.150    59.8796     0.7787    22.0000    44.0000    80.0000   562.0000
 0.400 0.150    88.9030     1.2203    29.0000    63.0000   121.0000   749.0000
 0.300 0.150   133.4230     1.8269    43.0000    95.0000   185.0000  1237.0000
 0.200 0.150   171.1256     2.4439    49.0000   118.0000   236.0000  1682.0000
 0.100 0.150   195.3140     2.8145    55.0000   134.0000   266.0000  1873.0000
