Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.150     9.1026     0.1147     4.0000     7.0000    12.0000   108.0000
 1.900 0.150     9.6946     0.1259     4.0000     7.0000    13.0000   136.0000
 1.800 0.150    10.3558     0.1299     4.0000     8.0000    13.0000   110.0000
 1.700 0.150    10.5582     0.1323     4.0000     8.0000    14.0000   132.0000
 1.600 0.150    11.4440     0.1425     5.0000     9.0000    15.0000   130.0000
 1.500 0.150    12.2112     0.1559     5.0000     9.0000    16.0000   139.0000
 1.400 0.150    13.2570     0.1735     5.0000    10.0000    17.0000   223.0000
 1.300 0.150    14.4580     0.1833     6.0000    11.0000    19.0000   167.0000
 1.200 0.150    15.7398     0.2016     6.0000    12.0000    20.0000   142.0000
 1.100 0.150    17.7070     0.2312     7.0000    13.0000    23.0000   195.0000
 1.000 0.150    20.2890     0.2602     8.0000    15.0000    26.0000   225.0000
 0.900 0.150    23.5244     0.3003     9.0000    17.0000    31.0000   227.0000
 0.800 0.150    27.1350     0.3502    11.0000    20.0000    35.0000   297.0000
 0.700 0.150    32.3968     0.4151    12.0000    24.0000    43.0000   309.0000
 0.600 0.150    41.2262     0.5515    15.0000    30.0000    54.0000   398.0000
 0.500 0.150    52.3734     0.6768    19.0000    38.0000    71.0000   502.0000
 0.400 0.150    74.3634     0.9667    25.0000    55.0000   102.0000   578.0000
 0.300 0.150   108.8082     1.4706    35.0000    77.0000   151.0000  1056.0000
 0.200 0.150   159.1174     2.2514    48.0000   110.0000   219.0000  1627.0000
 0.100 0.150   189.3004     2.6964    55.0000   130.0000   264.0000  2000.0000
